Date,Open,High,Low,Close,Adj Close,Volume
2017-11-16,243.289993,243.289993,231.126007,231.126007,231.126007,44615
2017-11-17,219.569000,219.569000,219.569000,219.569000,219.569000,3799
2017-11-20,208.621002,208.621002,208.591003,208.591003,208.591003,1506
2017-11-21,198.190002,198.190002,198.190002,198.190002,198.190002,1366
2017-11-22,188.307007,188.307007,188.307007,188.307007,188.307007,1556
2017-11-23,178.908997,178.908997,178.908997,178.908997,178.908997,2431
2017-11-24,169.968994,169.968994,169.968994,169.968994,169.968994,1999
2017-11-27,161.483994,161.483994,161.483994,161.483994,161.483994,2518
2017-11-28,153.425003,153.425003,153.425003,153.425003,153.425003,2002
2017-11-29,145.761002,145.761002,145.761002,145.761002,145.761002,8445
2017-11-30,131.194000,131.194000,131.194000,131.194000,131.194000,7827
2017-12-01,118.086998,143.966995,118.086998,125.568001,125.568001,987188
2017-12-04,119.211998,129.490997,113.160004,113.920998,113.920998,437456
2017-12-05,113.373001,119.607002,110.088997,119.607002,119.607002,525479
2017-12-06,125.568001,125.568001,125.568001,125.568001,125.568001,16817
2017-12-07,131.832993,131.832993,131.832993,131.832993,131.832993,21261
2017-12-08,138.401993,138.401993,138.401993,138.401993,138.401993,11032
2017-12-11,145.304993,145.304993,145.304993,145.304993,145.304993,2834
2017-12-12,152.542999,152.542999,152.542999,152.542999,152.542999,126778
2017-12-13,160.145996,160.145996,160.145996,160.145996,160.145996,4215
2017-12-14,168.143997,168.143997,168.143997,168.143997,168.143997,7439
2017-12-15,176.537003,176.537003,176.537003,176.537003,176.537003,2183
2017-12-18,185.356995,185.356995,185.356995,185.356995,185.356995,34247
2017-12-19,194.602005,194.602005,194.602005,194.602005,194.602005,5182
2017-12-20,204.302994,204.302994,204.302994,204.302994,204.302994,999
2017-12-21,214.490997,214.490997,214.490997,214.490997,214.490997,6433
2017-12-22,225.195007,225.195007,225.195007,225.195007,225.195007,3035
2017-12-26,236.447998,236.447998,236.447998,236.447998,236.447998,1483
2017-12-27,248.246994,248.246994,224.647995,228.115005,228.115005,208041
2017-12-28,223.126999,235.990997,217.501007,217.957001,217.957001,137043
2017-12-29,218.261993,228.845001,218.261993,228.723007,228.723007,83429
2018-01-01,232.949997,232.949997,217.287994,217.410004,217.410004,53455
2018-01-02,217.136002,221.880997,206.552994,206.552994,206.552994,41425
2018-01-03,198.037994,211.541000,198.037994,202.235001,202.235001,56115
2018-01-04,201.992004,212.057999,201.626999,205.397995,205.397995,24954
2018-01-05,210.414993,214.095001,198.889999,201.139999,201.139999,33980
2018-01-08,206.766006,211.175995,202.173996,211.175995,211.175995,23090
2018-01-09,221.727997,221.727997,214.095001,221.727997,221.727997,74855
2018-01-10,226.503006,226.503006,214.095001,216.589005,216.589005,69834
2018-01-11,218.960999,227.414993,212.878998,227.414993,227.414993,74092
2018-01-12,223.826996,224.496002,216.072006,218.322006,218.322006,73834
2018-01-15,219.264999,221.393997,212.878998,215.373001,215.373001,24816
2018-01-16,217.167007,217.744995,204.972000,206.158005,206.158005,27134
2018-01-17,199.132996,206.766006,196.153000,199.832001,199.832001,17983
2018-01-18,203.147003,209.807007,195.332001,201.626999,201.626999,96946
2018-01-19,205.550003,205.550003,192.259995,200.501007,200.501007,25314
2018-01-22,202.326004,206.188004,195.848007,196.852005,196.852005,11282
2018-01-23,196.852005,199.255005,191.591003,192.899002,192.899002,25926
2018-01-24,192.016998,198.251007,186.481995,189.552994,189.552994,27876
2018-01-25,191.591003,193.384995,183.806000,187.181000,187.181000,13300
2018-01-29,188.550003,192.807007,188.397995,188.671005,188.671005,8148
2018-01-30,182.589005,190.983002,179.425995,182.436996,182.436996,5917
2018-01-31,179.608994,185.509003,174.561005,176.507004,176.507004,15153
2018-02-01,174.561005,185.326004,174.561005,185.326004,185.326004,13914
2018-02-02,192.807007,192.807007,176.080994,176.080994,176.080994,13891
