Date,Open,High,Low,Close,Adj Close,Volume
2010-12-23,500.000000,500.000000,318.600006,328.149994,325.333252,30723700
2010-12-24,330.049988,349.950012,323.500000,332.100006,329.249359,9296960
2010-12-27,336.899994,339.950012,321.250000,325.450012,322.656464,1678278
2010-12-28,326.000000,328.899994,315.549988,317.649994,314.923401,1342115
2010-12-29,318.799988,322.950012,315.149994,317.000000,314.278992,774595
2010-12-30,318.799988,337.899994,315.100006,329.799988,326.969086,2744603
2010-12-31,330.799988,334.899994,322.049988,323.899994,321.119751,680108
2011-01-03,325.049988,333.600006,325.049988,327.149994,324.341858,720202
2011-01-04,329.750000,344.399994,326.549988,335.750000,332.868042,1802783
2011-01-05,337.000000,346.399994,334.149994,337.299988,334.404724,1062775
2011-01-06,339.250000,340.750000,322.899994,326.649994,323.846130,749954
2011-01-07,323.000000,330.549988,312.149994,314.399994,311.701294,533771
2011-01-10,314.649994,322.600006,303.549988,308.299988,305.653656,395895
2011-01-11,307.200012,315.000000,299.000000,302.750000,300.151306,287643
2011-01-12,305.950012,307.799988,295.250000,304.250000,301.638428,325444
2011-01-13,305.000000,321.000000,301.000000,303.799988,301.192261,668728
2011-01-14,305.200012,316.850006,295.649994,300.299988,297.722321,451606
2011-01-17,300.700012,304.799988,296.100006,298.750000,296.185638,246044
2011-01-18,300.750000,303.000000,297.250000,300.649994,298.069305,166202
2011-01-19,301.750000,310.500000,299.000000,300.299988,297.722321,226369
2011-01-20,299.000000,306.000000,297.000000,302.649994,300.052155,92429
2011-01-21,304.399994,309.799988,301.149994,302.700012,300.101746,119342
2011-01-24,304.700012,306.950012,301.549988,302.350006,299.754730,84025
2011-01-25,300.000000,304.350006,297.500000,298.899994,296.334351,84205
2011-01-27,300.000000,304.500000,292.200012,294.649994,292.120819,98609
2011-01-28,291.000000,296.450012,276.899994,279.600006,277.200012,140878
2011-01-31,272.100006,274.000000,259.000000,266.250000,263.964600,109795
2011-02-01,268.000000,299.850006,265.100006,271.700012,269.367828,290144
2011-02-02,273.950012,282.000000,273.000000,275.350006,272.986481,78042
2011-02-03,279.799988,282.000000,274.750000,276.649994,274.275330,77842
2011-02-04,275.000000,282.000000,271.100006,272.450012,270.111389,53299
2011-02-07,272.549988,279.000000,261.000000,263.399994,261.139069,74552
2011-02-08,264.000000,267.200012,243.000000,248.199997,246.069534,160266
2011-02-09,250.050003,251.850006,205.500000,219.100006,217.219330,350757
2011-02-10,220.000000,235.000000,205.100006,213.500000,211.667389,235560
2011-02-11,214.949997,248.000000,206.600006,234.100006,232.090576,371022
2011-02-14,238.000000,260.799988,236.000000,246.949997,244.830261,195609
2011-02-15,245.000000,249.449997,200.000000,236.649994,234.618668,185778
2011-02-16,235.949997,284.000000,231.000000,279.850006,277.447876,719200
2011-02-17,288.100006,289.700012,264.950012,271.700012,269.367828,1465841
2011-02-18,271.399994,276.000000,254.600006,256.950012,254.744446,302445
2011-02-21,254.050003,274.000000,248.050003,269.899994,267.583252,399394
2011-02-22,268.000000,271.899994,258.049988,261.149994,258.908356,149976
2011-02-23,261.149994,268.899994,253.250000,255.000000,252.811172,124793
2011-02-24,255.000000,258.700012,246.000000,248.949997,246.813095,130189
2011-02-25,252.000000,256.950012,239.250000,250.050003,247.903656,151023
2011-02-28,250.000000,271.799988,248.750000,265.049988,262.774902,191642
2011-03-01,265.500000,273.000000,261.000000,265.049988,262.774902,103769
2011-03-03,263.000000,275.450012,261.000000,267.799988,265.501282,115565
2011-03-04,271.000000,276.950012,260.100006,262.500000,260.246796,106857
2011-03-07,261.250000,264.399994,254.000000,257.250000,255.041855,89739
2011-03-08,259.600006,276.000000,255.199997,266.899994,264.609009,560660
2011-03-09,267.299988,275.000000,266.000000,269.149994,266.839691,528253
2011-03-10,268.299988,274.899994,255.000000,258.350006,256.132416,565250
2011-03-11,258.350006,261.350006,250.199997,252.100006,249.936066,91830
2011-03-14,250.000000,266.850006,250.000000,262.850006,260.593781,457341
2011-03-15,255.000000,264.700012,252.000000,254.350006,252.166748,165132
2011-03-16,256.850006,262.549988,256.250000,257.399994,255.190552,92171
2011-03-17,255.000000,261.899994,253.000000,254.699997,252.513733,72474
2011-03-18,257.000000,258.700012,249.449997,250.199997,248.052368,63610
2011-03-21,252.649994,255.899994,250.000000,250.550003,248.399368,47960
2011-03-22,251.000000,262.549988,248.050003,260.299988,258.065674,108030
2011-03-23,261.000000,265.899994,255.100006,259.299988,257.074249,183815
2011-03-24,261.299988,279.299988,261.000000,266.100006,263.815887,401811
2011-03-25,268.000000,284.450012,268.000000,278.750000,276.357300,396251
2011-03-28,275.000000,288.450012,275.000000,280.250000,277.844421,291334
2011-03-29,284.700012,286.500000,273.049988,275.149994,272.788208,121220
2011-03-30,279.000000,284.799988,275.500000,281.399994,278.984558,74056
2011-03-31,282.000000,284.500000,279.500000,281.299988,278.885406,64211
2011-04-01,281.799988,294.450012,279.799988,289.200012,286.717621,140643
2011-04-04,291.000000,309.649994,286.049988,300.450012,297.871063,256342
2011-04-05,302.450012,319.950012,301.200012,312.149994,309.470612,282426
2011-04-06,315.500000,322.000000,310.000000,313.700012,311.007324,146197
2011-04-07,314.000000,315.899994,298.250000,299.950012,297.375336,97326
2011-04-08,301.399994,306.950012,288.450012,293.350006,290.832001,85860
2011-04-11,289.950012,292.950012,284.500000,285.750000,283.297211,57769
2011-04-13,277.000000,286.600006,277.000000,281.700012,279.281982,88336
2011-04-15,282.450012,284.950012,272.200012,275.250000,272.887360,58951
2011-04-18,273.250000,278.500000,263.500000,265.000000,262.725342,150038
2011-04-19,263.750000,267.700012,258.000000,260.899994,258.660522,55651
2011-04-20,269.700012,272.799988,261.799988,266.750000,264.460297,136077
2011-04-21,267.000000,275.000000,266.950012,273.350006,271.003662,69073
2011-04-25,276.799988,276.799988,265.549988,266.950012,264.658600,31847
2011-04-26,268.000000,271.950012,262.500000,266.200012,263.915039,53408
2011-04-27,268.299988,272.000000,265.500000,266.950012,264.658600,35576
2011-04-28,267.850006,269.500000,263.000000,264.250000,261.981781,17670
2011-04-29,264.250000,265.299988,253.199997,255.500000,253.306870,32169
2011-05-02,257.299988,259.049988,243.300003,245.100006,242.996155,45243
2011-05-03,244.850006,246.899994,227.550003,229.699997,227.728333,96508
2011-05-04,234.699997,238.949997,226.500000,236.350006,234.321259,71640
2011-05-05,238.899994,239.699997,231.000000,231.850006,229.859879,35856
2011-05-06,234.000000,238.000000,232.000000,236.050003,234.023834,36304
2011-05-09,244.699997,244.699997,231.100006,232.649994,230.653000,26168
2011-05-10,232.000000,248.000000,230.149994,238.550003,236.502365,98730
2011-05-11,241.000000,242.500000,235.050003,236.800003,234.767395,32553
2011-05-12,235.149994,244.199997,229.000000,231.300003,229.314606,58007
2011-05-13,232.300003,236.250000,228.050003,232.899994,230.900864,40186
2011-05-16,230.100006,234.000000,226.300003,227.399994,225.448074,32388
2011-05-17,228.000000,235.399994,226.500000,228.000000,226.042923,51691
2011-05-18,229.000000,231.600006,223.500000,224.100006,222.176407,22680
2011-05-19,225.750000,225.750000,220.500000,221.500000,219.598724,16925
2011-05-20,221.000000,224.800003,220.600006,221.300003,219.400436,20897
2011-05-23,220.300003,225.000000,216.000000,218.649994,216.773178,60864
2011-05-24,220.000000,222.000000,218.000000,219.199997,217.318451,21588
