Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,5.415000,5.925000,5.415000,5.870000,0.107781,6000
2002-07-02,6.250000,6.250000,5.710000,5.795000,0.106404,4690
2002-07-03,5.670000,5.835000,5.670000,5.785000,0.106220,3770
2002-07-04,5.575000,5.735000,5.575000,5.600000,0.102823,2290
2002-07-05,5.540000,5.745000,5.540000,5.640000,0.103558,2500
2002-07-08,6.000000,6.030000,5.690000,5.785000,0.106220,2856
2002-07-09,5.795000,5.875000,5.750000,5.805000,0.106588,7820
2002-07-10,5.915000,5.915000,5.585000,5.595000,0.102732,5342
2002-07-11,5.500000,5.585000,5.335000,5.335000,0.097958,3316
2002-07-12,5.500000,5.540000,5.425000,5.460000,0.100253,690
2002-07-15,5.335000,5.415000,5.195000,5.305000,0.097407,2050
2002-07-16,5.245000,5.405000,5.245000,5.270000,0.096764,3700
2002-07-17,5.005000,5.290000,5.005000,5.250000,0.096397,900
2002-07-18,5.170000,5.335000,5.170000,5.335000,0.097958,1600
2002-07-19,4.810000,5.415000,4.810000,5.415000,0.099427,1150
2002-07-22,5.250000,5.250000,5.175000,5.200000,0.095479,2900
2002-07-23,5.230000,5.250000,5.000000,5.205000,0.095571,1470
2002-07-24,5.160000,5.165000,5.105000,5.105000,0.093735,2416
2002-07-25,5.105000,5.165000,5.105000,5.165000,0.094836,1450
2002-07-26,4.790000,5.240000,4.790000,5.210000,0.095663,1906
2002-07-29,4.910000,5.190000,4.790000,5.185000,0.095204,3100
2002-07-30,5.335000,5.335000,4.835000,4.860000,0.089236,3604
2002-07-31,4.915000,5.000000,4.915000,4.930000,0.090521,2254
2002-08-01,5.085000,5.210000,4.915000,4.935000,0.090613,4712
2002-08-02,4.835000,5.040000,4.835000,5.040000,0.092541,3842
2002-08-05,4.630000,5.085000,4.625000,5.010000,0.091990,2550
2002-08-06,5.085000,5.185000,4.820000,5.185000,0.095204,1702
2002-08-07,5.095000,5.250000,5.095000,5.165000,0.094836,1350
2002-08-08,4.835000,5.685000,4.835000,5.585000,0.102548,7518
2002-08-09,5.340000,5.340000,5.165000,5.165000,0.094836,200
2002-08-12,5.665000,5.665000,5.165000,5.165000,0.094836,1850
2002-08-13,5.105000,5.210000,5.085000,5.110000,0.093826,720
2002-08-14,5.125000,5.330000,5.125000,5.330000,0.097866,696
2002-08-15,null,null,null,null,null,null
2002-08-16,5.165000,5.190000,5.165000,5.185000,0.095204,250
2002-08-19,5.335000,5.335000,5.215000,5.335000,0.097958,614
2002-08-20,5.085000,5.240000,5.085000,5.240000,0.096213,1600
2002-08-21,5.050000,5.260000,5.050000,5.260000,0.096581,1388
2002-08-22,null,null,null,null,null,null
2002-08-23,5.175000,5.240000,5.000000,5.165000,0.094836,870
2002-08-26,5.165000,5.235000,5.165000,5.185000,0.095204,882
2002-08-27,5.200000,5.210000,5.085000,5.085000,0.093367,1110
2002-08-28,5.230000,5.230000,5.230000,5.230000,0.096030,400
2002-08-29,5.165000,5.250000,5.165000,5.250000,0.096397,1150
2002-08-30,5.240000,5.250000,5.240000,5.250000,0.096397,1000
2002-09-02,5.210000,5.210000,5.210000,5.210000,0.095663,500
2002-09-03,5.210000,5.210000,5.185000,5.185000,0.095204,600
2002-09-04,5.035000,5.115000,5.035000,5.110000,0.093826,300
2002-09-05,5.085000,5.085000,5.085000,5.085000,0.093367,100
2002-09-06,5.105000,5.105000,4.935000,4.960000,0.091072,600
2002-09-09,4.675000,4.915000,4.675000,4.875000,0.089511,200
2002-09-10,null,null,null,null,null,null
2002-09-11,4.840000,4.840000,4.770000,4.770000,0.087584,600
2002-09-12,null,null,null,null,null,null
2002-09-13,4.830000,4.840000,4.830000,4.840000,0.088869,202
2002-09-16,4.875000,4.875000,4.620000,4.730000,0.086849,1494
2002-09-17,4.570000,4.710000,4.570000,4.700000,0.086298,500
2002-09-18,5.085000,5.085000,4.680000,4.685000,0.086023,970
2002-09-19,4.750000,4.750000,4.710000,4.710000,0.086482,360
2002-09-20,4.585000,4.585000,4.585000,4.585000,0.084187,400
2002-09-23,4.585000,4.645000,4.585000,4.635000,0.085105,458
2002-09-24,4.605000,4.835000,4.605000,4.770000,0.087584,2252
2002-09-25,4.790000,5.000000,4.750000,5.000000,0.091807,2810
2002-09-26,4.750000,4.915000,4.750000,4.915000,0.090246,802
2002-09-27,4.915000,4.960000,4.915000,4.960000,0.091072,1300
2002-09-30,4.915000,4.975000,4.915000,4.915000,0.090246,650
2002-10-01,4.920000,4.925000,4.915000,4.915000,0.090246,2474
2002-10-02,null,null,null,null,null,null
2002-10-03,4.750000,4.920000,4.750000,4.915000,0.090246,1200
2002-10-04,4.915000,4.920000,4.915000,4.915000,0.090246,1530
2002-10-07,4.760000,4.910000,4.760000,4.890000,0.089787,1090
2002-10-08,4.915000,4.985000,4.915000,4.985000,0.091531,1502
2002-10-09,4.665000,4.915000,4.665000,4.915000,0.090246,300
2002-10-10,4.915000,4.935000,4.915000,4.930000,0.090521,1532
2002-10-11,4.920000,4.930000,4.915000,4.930000,0.090521,1200
2002-10-14,4.960000,4.960000,4.915000,4.915000,0.090246,450
2002-10-15,null,null,null,null,null,null
2002-10-16,4.935000,4.935000,4.935000,4.935000,0.090613,200
2002-10-17,4.945000,5.085000,4.945000,5.085000,0.093367,1050
2002-10-18,null,null,null,null,null,null
2002-10-21,4.960000,5.330000,4.960000,5.185000,0.095204,2370
2002-10-22,4.915000,5.085000,4.915000,5.085000,0.093367,600
2002-10-23,5.005000,5.005000,5.005000,5.005000,0.091898,400
2002-10-24,4.960000,5.000000,4.960000,5.000000,0.091807,400
2002-10-25,5.000000,5.135000,5.000000,5.020000,0.092174,690
2002-10-28,5.000000,5.160000,4.915000,5.005000,0.091898,1210
2002-10-29,4.585000,5.125000,4.585000,5.125000,0.094102,762
2002-10-30,5.105000,5.250000,5.105000,5.250000,0.096397,1700
2002-10-31,5.250000,5.250000,5.085000,5.165000,0.094836,720
