Date,Open,High,Low,Close,Adj Close,Volume
2013-07-17,174.000000,174.000000,165.300003,166.000000,166.000000,115310
2013-07-18,157.699997,165.000000,157.699997,164.850006,164.850006,22149
2013-07-19,160.000000,161.800003,156.649994,156.649994,156.649994,28708
2013-07-22,150.000000,155.000000,148.850006,149.600006,149.600006,11739
2013-07-23,142.500000,147.000000,142.149994,144.550003,144.550003,9163
2013-07-24,137.500000,144.949997,137.500000,142.000000,142.000000,3964
2013-07-25,135.149994,139.000000,134.899994,135.649994,135.649994,12209
2013-07-26,128.899994,142.399994,128.899994,142.399994,142.399994,5735
2013-07-29,135.500000,149.500000,135.500000,141.399994,141.399994,23956
2013-07-30,136.000000,148.449997,135.000000,146.000000,146.000000,26174
2013-07-31,140.000000,164.899994,131.000000,154.199997,154.199997,14136
2013-08-01,158.800003,164.949997,155.000000,161.350006,161.350006,19948
2013-08-02,163.000000,172.000000,155.000000,155.350006,155.350006,38303
2013-08-05,155.000000,164.000000,152.149994,158.750000,158.750000,29410
2013-08-06,153.000000,160.000000,130.250000,147.500000,147.500000,12462
2013-08-07,145.000000,152.000000,144.000000,147.350006,147.350006,18507
2013-08-08,141.100006,154.399994,141.000000,144.050003,144.050003,20670
2013-08-12,145.000000,153.699997,143.250000,144.399994,144.399994,11958
2013-08-13,137.250000,153.800003,137.250000,148.250000,148.250000,15162
2013-08-14,147.250000,153.899994,147.250000,152.399994,152.399994,10550
2013-08-16,152.399994,152.399994,142.500000,143.550003,143.550003,13893
2013-08-19,142.000000,147.000000,137.000000,139.600006,139.600006,6607
2013-08-20,138.000000,145.000000,136.050003,139.550003,139.550003,29038
2013-08-21,140.100006,143.750000,138.250000,139.000000,139.000000,24666
2013-08-22,127.000000,140.300003,127.000000,136.500000,136.500000,9676
2013-08-23,135.100006,137.000000,128.000000,130.800003,130.800003,40028
2013-08-26,132.000000,139.699997,130.000000,135.899994,135.899994,12983
2013-08-27,132.000000,133.000000,130.100006,132.149994,132.149994,2790
2013-08-28,131.899994,135.250000,121.500000,133.050003,133.050003,22909
2013-08-29,133.050003,133.050003,127.000000,130.149994,130.149994,1845
2013-08-30,130.000000,131.000000,126.000000,127.000000,127.000000,1972
2013-09-02,125.400002,129.949997,125.099998,126.199997,126.199997,1560
2013-09-03,125.000000,127.900002,121.000000,124.550003,124.550003,2057
2013-09-04,124.500000,133.850006,116.000000,125.900002,125.900002,8762
2013-09-05,125.000000,129.000000,122.050003,125.349998,125.349998,2044
2013-09-06,125.000000,125.000000,121.099998,123.300003,123.300003,3905
2013-09-10,128.949997,130.800003,121.000000,129.250000,129.250000,7865
2013-09-11,122.500000,128.500000,122.500000,125.449997,125.449997,5045
2013-09-12,124.150002,135.000000,119.000000,124.750000,124.750000,15066
2013-09-13,124.000000,127.650002,123.099998,124.050003,124.050003,1443
2013-09-16,123.699997,126.699997,120.050003,121.599998,121.599998,2572
2013-09-17,118.050003,123.000000,117.599998,119.000000,119.000000,2461
2013-09-18,124.000000,124.000000,116.099998,118.599998,118.599998,2537
2013-09-19,120.000000,122.000000,119.500000,120.550003,120.550003,3504
2013-09-20,120.000000,121.750000,116.000000,118.150002,118.150002,2785
2013-09-23,111.000000,118.900002,111.000000,115.750000,115.750000,3357
2013-09-24,111.500000,126.000000,107.050003,118.099998,118.099998,11676
2013-09-25,113.000000,118.750000,113.000000,114.199997,114.199997,2699
2013-09-26,109.000000,121.000000,109.000000,119.849998,119.849998,13875
2013-09-27,116.599998,120.000000,115.000000,116.900002,116.900002,2520
2013-09-30,113.000000,117.000000,110.000000,111.750000,111.750000,3021
2013-10-01,111.250000,116.000000,105.000000,107.949997,107.949997,28351
2013-10-03,110.000000,117.900002,108.050003,116.550003,116.550003,94015
2013-10-04,119.000000,121.849998,110.250000,111.550003,111.550003,157550
2013-10-07,113.699997,116.000000,111.000000,111.599998,111.599998,15076
2013-10-08,112.000000,114.800003,111.000000,111.150002,111.150002,6239
2013-10-09,110.050003,113.550003,110.000000,110.199997,110.199997,14972
2013-10-10,112.800003,112.800003,110.000000,110.050003,110.050003,4520
2013-10-11,112.800003,113.900002,110.000000,111.150002,111.150002,8133
2013-10-14,112.000000,112.000000,110.000000,110.000000,110.000000,10359
