Date,Open,High,Low,Close,Adj Close,Volume
2010-09-15,78.400002,83.699997,68.000000,78.849998,68.019730,215373
2010-09-16,78.949997,78.949997,75.099998,76.750000,66.208176,13729
2010-09-17,76.400002,78.000000,76.000000,77.150002,66.553230,8400
2010-09-20,77.000000,77.650002,75.099998,76.449997,65.949371,5293
2010-09-21,80.000000,80.000000,72.699997,73.400002,63.318302,6162
2010-09-22,76.949997,76.949997,73.050003,73.500000,63.404572,13100
2010-09-23,72.400002,74.750000,71.550003,72.099998,62.196857,7166
2010-09-24,73.500000,79.400002,73.500000,78.150002,67.415886,29173
2010-09-27,79.000000,85.500000,78.000000,82.150002,70.866470,78140
2010-09-28,88.000000,88.000000,79.000000,80.949997,69.831284,27742
2010-09-29,82.500000,82.500000,79.250000,79.500000,68.580444,25904
2010-09-30,81.800003,91.849998,81.099998,86.750000,74.834641,616101
2010-10-01,86.000000,87.900002,83.099998,84.000000,72.462357,58576
2010-10-04,87.000000,87.000000,81.300003,82.800003,71.427185,26670
2010-10-05,85.199997,89.000000,83.250000,84.449997,72.850540,108438
2010-10-06,84.599998,84.650002,81.099998,82.500000,71.168381,21864
2010-10-07,81.000000,83.900002,77.400002,80.750000,69.658768,14688
2010-10-08,81.000000,81.949997,77.250000,78.250000,67.502151,7946
2010-10-11,80.750000,85.849998,78.000000,81.099998,69.960686,63547
2010-10-12,82.800003,82.949997,78.500000,79.699997,68.752983,13812
2010-10-13,80.000000,83.750000,80.000000,83.099998,71.685974,23571
2010-10-14,81.750000,83.349998,79.900002,80.099998,69.098038,6271
2010-10-15,81.000000,83.650002,78.300003,79.050003,68.192261,11682
2010-10-18,83.500000,83.500000,77.099998,77.949997,67.243347,6068
2010-10-19,78.150002,80.800003,75.000000,76.150002,65.690582,23594
2010-10-20,76.400002,78.000000,76.000000,76.400002,65.906242,7900
2010-10-21,77.099998,77.849998,76.500000,76.900002,66.337563,4777
2010-10-22,78.349998,78.349998,76.000000,76.500000,65.992508,5685
2010-10-25,78.400002,78.400002,75.800003,76.349998,65.863106,6328
2010-10-26,75.650002,78.349998,75.650002,77.150002,66.553230,5284
2010-10-27,78.000000,82.050003,77.750000,80.500000,69.443092,34525
2010-10-28,80.099998,80.099998,77.800003,78.199997,67.459007,14905
2010-10-29,78.500000,80.000000,77.000000,79.050003,68.192261,13773
2010-11-01,78.000000,78.750000,76.000000,76.400002,65.906242,9171
2010-11-02,77.000000,87.900002,77.000000,82.000000,70.737068,342598
2010-11-03,86.000000,89.400002,80.599998,81.800003,70.564545,571654
