Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,0.846000,0.954000,0.846000,0.927000,-0.000181,451967
2002-07-02,0.945000,0.951000,0.903000,0.909000,-0.000177,217000
2002-07-03,0.816000,0.930000,0.816000,0.903000,-0.000176,118333
2002-07-04,0.873000,0.930000,0.870000,0.882000,-0.000172,71583
2002-07-05,0.900000,0.930000,0.846000,0.858000,-0.000167,157917
2002-07-08,0.912000,0.954000,0.888000,0.927000,-0.000181,242883
2002-07-09,0.945000,1.008000,0.906000,0.924000,-0.000180,254750
2002-07-10,0.987000,0.987000,0.873000,0.888000,-0.000173,115250
2002-07-11,0.858000,0.882000,0.846000,0.849000,-0.000166,48333
2002-07-12,0.849000,0.876000,0.849000,0.852000,-0.000166,72667
2002-07-15,0.780000,0.834000,0.780000,0.801000,-0.000156,58417
2002-07-16,0.795000,0.798000,0.765000,0.768000,-0.000150,35017
2002-07-17,0.768000,0.768000,0.726000,0.750000,-0.000146,55800
2002-07-18,0.750000,0.774000,0.750000,0.750000,-0.000146,22150
2002-07-19,0.750000,0.750000,0.735000,0.735000,-0.000143,1333
2002-07-22,0.663000,0.663000,0.663000,0.663000,-0.000129,10683
2002-07-23,0.663000,0.663000,0.573000,0.657000,-0.000128,84167
2002-07-24,0.654000,0.654000,0.630000,0.639000,-0.000125,22917
2002-07-25,0.630000,0.645000,0.630000,0.639000,-0.000125,49450
2002-07-26,0.762000,0.762000,0.600000,0.639000,-0.000125,81783
2002-07-29,0.744000,0.744000,0.579000,0.606000,-0.000118,163350
2002-07-30,0.600000,0.672000,0.600000,0.621000,-0.000121,61700
2002-07-31,0.600000,0.693000,0.600000,0.660000,-0.000129,93317
2002-08-01,0.690000,0.690000,0.603000,0.630000,-0.000123,21417
2002-08-02,0.621000,0.621000,0.603000,0.606000,-0.000118,17783
2002-08-05,0.615000,0.621000,0.615000,0.618000,-0.000120,33333
2002-08-06,0.549000,0.642000,0.549000,0.642000,-0.000125,25017
2002-08-07,0.564000,0.642000,0.564000,0.624000,-0.000122,100
2002-08-08,0.612000,0.612000,0.603000,0.612000,-0.000119,1700
2002-08-09,0.600000,0.630000,0.561000,0.630000,-0.000123,17217
2002-08-12,0.609000,0.612000,0.609000,0.612000,-0.000119,7817
2002-08-13,0.624000,0.660000,0.615000,0.615000,-0.000120,38417
2002-08-14,0.606000,0.606000,0.606000,0.606000,-0.000118,6550
2002-08-15,null,null,null,null,null,null
2002-08-16,0.603000,0.729000,0.600000,0.723000,-0.000141,170500
2002-08-19,0.735000,0.804000,0.702000,0.780000,-0.000152,223967
2002-08-20,0.759000,0.801000,0.759000,0.768000,-0.000150,117000
2002-08-21,0.750000,0.750000,0.720000,0.735000,0.003439,58850
2002-08-22,0.687000,0.735000,0.687000,0.708000,0.003313,14217
2002-08-23,0.741000,0.741000,0.690000,0.714000,0.003341,58333
2002-08-26,0.690000,0.690000,0.669000,0.678000,0.003172,137650
2002-08-27,0.690000,0.690000,0.669000,0.669000,0.003130,51200
2002-08-28,0.663000,0.663000,0.660000,0.660000,0.003088,12500
2002-08-29,0.615000,0.678000,0.606000,0.618000,0.002892,28800
2002-08-30,0.630000,0.660000,0.624000,0.624000,0.002920,59200
2002-09-02,0.708000,0.708000,0.630000,0.630000,0.002948,28567
2002-09-03,0.627000,0.630000,0.618000,0.621000,0.002906,21667
2002-09-04,0.702000,0.702000,0.621000,0.630000,0.002948,15850
2002-09-05,0.633000,0.657000,0.630000,0.639000,0.002990,16000
2002-09-06,0.675000,0.675000,0.612000,0.621000,0.002906,6833
2002-09-09,0.579000,0.615000,0.579000,0.594000,0.002779,63350
2002-09-10,null,null,null,null,null,null
2002-09-11,0.600000,0.612000,0.585000,0.585000,0.002737,8333
2002-09-12,0.594000,0.600000,0.576000,0.600000,0.002807,17450
2002-09-13,0.558000,0.615000,0.540000,0.597000,0.002793,64333
2002-09-16,0.576000,0.579000,0.570000,0.579000,0.002709,36650
2002-09-17,0.567000,0.567000,0.561000,0.561000,0.002625,11850
2002-09-18,0.564000,0.576000,0.555000,0.555000,0.002597,29517
2002-09-19,0.660000,0.660000,0.558000,0.564000,0.002639,12483
2002-09-20,0.672000,0.672000,0.549000,0.555000,0.002597,6683
2002-09-23,0.579000,0.579000,0.552000,0.552000,0.002583,7517
2002-09-24,0.579000,0.579000,0.522000,0.555000,0.002597,13350
2002-09-25,0.579000,0.579000,0.540000,0.543000,0.002541,33333
2002-09-26,0.651000,0.651000,0.537000,0.543000,0.002541,80667
2002-09-27,0.573000,0.573000,0.540000,0.561000,0.002625,14417
2002-09-30,0.651000,0.651000,0.543000,0.567000,0.002653,27283
2002-10-01,0.552000,0.555000,0.552000,0.552000,0.002583,3833
2002-10-02,null,null,null,null,null,null
2002-10-03,0.525000,0.555000,0.525000,0.555000,0.002597,433
2002-10-04,0.519000,0.570000,0.519000,0.561000,0.002625,8800
2002-10-07,null,null,null,null,null,null
2002-10-08,0.552000,0.567000,0.546000,0.555000,0.002597,28300
2002-10-09,0.552000,0.558000,0.552000,0.558000,0.002611,10983
2002-10-10,0.540000,0.543000,0.540000,0.543000,0.002541,4800
2002-10-11,0.579000,0.579000,0.546000,0.546000,0.002555,16700
2002-10-14,0.549000,0.600000,0.549000,0.555000,0.002597,19200
2002-10-15,null,null,null,null,null,null
2002-10-16,0.555000,0.555000,0.552000,0.555000,0.002597,12900
2002-10-17,0.540000,0.549000,0.540000,0.549000,0.002569,11683
2002-10-18,0.600000,0.600000,0.555000,0.576000,0.002695,867
2002-10-21,0.558000,0.576000,0.555000,0.576000,0.002695,20000
