Date,Open,High,Low,Close,Adj Close,Volume
2014-01-28,37.000000,37.000000,35.150002,35.150002,35.150002,2071
2014-01-29,33.400002,33.400002,33.400002,33.400002,33.400002,800
2014-01-30,33.400002,33.400002,33.400002,33.400002,33.400002,0
2014-01-31,31.750000,31.750000,31.750000,31.750000,31.750000,46
2014-02-03,30.200001,30.200001,30.200001,30.200001,30.200001,1
2014-02-04,30.200001,30.200001,30.200001,30.200001,30.200001,0
2014-02-05,30.200001,30.200001,30.200001,30.200001,30.200001,0
2014-02-06,28.700001,28.700001,28.700001,28.700001,28.700001,360
2014-02-07,28.700001,28.700001,28.700001,28.700001,28.700001,0
2014-02-10,28.700001,28.700001,28.700001,28.700001,28.700001,0
2014-02-11,28.700001,28.700001,28.700001,28.700001,28.700001,0
2014-02-12,28.700001,28.700001,28.700001,28.700001,28.700001,0
2014-02-13,27.299999,27.299999,27.299999,27.299999,27.299999,50
2014-02-14,27.299999,27.299999,27.299999,27.299999,27.299999,0
2014-02-17,27.299999,27.299999,27.299999,27.299999,27.299999,0
2014-02-18,27.299999,27.299999,27.299999,27.299999,27.299999,0
2014-02-19,25.950001,25.950001,25.950001,25.950001,25.950001,1
2014-02-20,24.700001,24.700001,24.700001,24.700001,24.700001,1
2014-02-21,23.500000,23.500000,23.500000,23.500000,23.500000,2
2014-02-24,22.500000,22.500000,22.350000,22.350000,22.350000,525
2014-02-25,21.250000,21.250000,21.250000,21.250000,21.250000,31
2014-02-26,20.200001,20.200001,20.200001,20.200001,20.200001,40
2014-02-28,19.200001,19.200001,19.200001,19.200001,19.200001,94
2014-03-03,18.250000,18.250000,18.250000,18.250000,18.250000,561
2014-03-04,18.250000,18.250000,18.250000,18.250000,18.250000,0
2014-03-05,17.350000,17.350000,17.350000,17.350000,17.350000,275
2014-03-06,16.500000,16.500000,16.500000,16.500000,16.500000,50
2014-03-07,16.500000,16.500000,16.500000,16.500000,16.500000,0
2014-03-10,15.700000,15.700000,15.700000,15.700000,15.700000,354
2014-03-11,14.950000,14.950000,14.950000,14.950000,14.950000,1031
2014-03-12,14.250000,14.250000,14.250000,14.250000,14.250000,131
