Date,Open,High,Low,Close,Adj Close,Volume
2015-12-02,285.000000,290.000000,275.950012,280.100006,279.335205,61219
2015-12-03,282.950012,284.000000,275.000000,275.350006,274.598175,26838
2015-12-04,267.000000,278.850006,267.000000,269.899994,269.163025,27785
2015-12-07,278.000000,278.000000,256.500000,263.200012,262.481354,28403
2015-12-08,267.000000,268.100006,258.000000,260.399994,259.688995,23901
2015-12-09,269.250000,270.000000,250.000000,251.199997,250.514099,37763
2015-12-10,254.000000,256.000000,251.000000,253.500000,252.807831,23423
2015-12-11,255.000000,256.950012,247.600006,248.000000,247.322845,23149
2015-12-14,250.000000,263.799988,249.600006,256.700012,255.999115,29618
2015-12-15,258.000000,258.000000,252.000000,252.550003,251.860413,25454
2015-12-16,255.500000,257.000000,248.500000,250.800003,250.115204,28000
2015-12-17,257.500000,257.500000,248.300003,250.000000,249.317383,44416
2015-12-18,258.000000,258.000000,251.050003,252.550003,251.860413,106991
2015-12-21,255.000000,256.799988,251.000000,254.800003,254.104294,29439
2015-12-22,254.000000,259.700012,252.500000,256.649994,255.949203,26262
2015-12-23,262.750000,271.399994,257.049988,268.649994,267.916473,45098
2015-12-24,281.899994,289.899994,274.000000,279.450012,278.686981,109575
2015-12-28,282.200012,294.899994,282.000000,289.899994,289.108459,46971
2015-12-29,296.850006,311.000000,292.950012,301.149994,300.327698,99811
2015-12-30,304.000000,304.000000,288.049988,290.950012,290.155579,48103
2015-12-31,291.000000,308.000000,288.500000,293.049988,292.249847,55806
2016-01-01,293.000000,301.950012,288.100006,292.250000,291.452026,44102
2016-01-04,290.500000,297.700012,282.000000,285.850006,285.069489,91494
2016-01-05,289.700012,299.799988,286.500000,295.000000,294.194519,66742
2016-01-06,298.500000,327.000000,290.000000,302.399994,301.574310,154800
2016-01-07,294.500000,317.899994,286.250000,306.149994,305.314056,103783
2016-01-08,311.799988,318.000000,296.600006,302.899994,302.072937,67755
2016-01-11,302.700012,315.000000,298.250000,311.450012,310.599609,61857
2016-01-12,313.399994,323.500000,297.000000,299.500000,298.682220,139979
2016-01-13,303.950012,307.649994,275.000000,292.750000,291.950653,99921
2016-01-14,288.000000,302.000000,265.000000,288.200012,287.413086,68271
2016-01-15,292.500000,294.399994,267.100006,273.000000,272.254578,64104
2016-01-18,270.000000,278.850006,248.000000,253.600006,252.907562,67868
2016-01-19,255.000000,273.000000,251.250000,268.350006,267.617279,59906
2016-01-20,273.000000,276.399994,258.200012,269.850006,269.113190,66746
2016-01-21,279.000000,281.000000,267.100006,275.500000,274.747772,79698
2016-01-22,275.000000,283.000000,272.500000,279.100006,278.337952,47984
2016-01-25,286.850006,286.850006,276.200012,278.850006,278.088623,31319
2016-01-27,284.500000,284.500000,275.649994,279.299988,278.537384,34266
2016-01-28,280.000000,280.000000,268.250000,271.149994,270.409637,45387
2016-01-29,275.000000,276.000000,269.000000,272.700012,271.955414,32498
2016-02-01,284.950012,285.000000,268.000000,272.149994,271.406921,25349
2016-02-02,268.200012,276.200012,264.350006,268.850006,268.115936,28693
2016-02-03,270.000000,270.000000,253.000000,262.200012,261.484100,36172
2016-02-04,265.799988,270.500000,258.000000,259.149994,258.442383,38980
2016-02-05,262.399994,271.500000,258.600006,269.299988,268.564697,40105
2016-02-08,267.100006,272.250000,263.000000,265.950012,265.223846,28519
2016-02-09,260.899994,274.500000,260.899994,265.149994,264.426025,52804
2016-02-10,262.450012,270.899994,258.000000,268.600006,267.866608,35910
2016-02-11,278.250000,278.250000,215.649994,253.600006,252.907562,101433
2016-02-12,255.000000,257.000000,235.000000,237.250000,236.602188,96922
2016-02-15,258.000000,264.000000,246.000000,249.100006,248.419846,64761
2016-02-16,255.500000,255.500000,237.399994,246.100006,245.428040,42578
2016-02-17,245.000000,251.000000,237.000000,247.100006,246.425308,37261
2016-02-18,250.000000,255.699997,244.000000,245.050003,244.380905,26314
2016-02-19,244.000000,250.500000,244.000000,249.149994,248.469711,23620
2016-02-22,249.500000,254.899994,245.000000,249.550003,248.868607,10935
2016-02-23,248.699997,249.850006,241.000000,243.199997,242.535950,39221
2016-02-24,246.000000,246.000000,231.100006,234.449997,233.809830,53199
2016-02-25,237.000000,246.000000,234.000000,244.149994,243.483353,17790
2016-02-26,248.050003,251.699997,239.100006,242.550003,241.887726,20263
2016-02-29,247.000000,247.000000,231.600006,233.250000,232.613113,15298
2016-03-01,237.800003,245.100006,234.800003,244.449997,243.782532,19856
2016-03-02,253.899994,253.899994,240.000000,243.250000,242.585815,20136
2016-03-03,247.500000,251.000000,241.399994,249.050003,248.369980,22808
2016-03-04,245.500000,256.000000,245.000000,248.100006,247.422577,20749
2016-03-08,249.000000,249.500000,238.399994,241.649994,240.990173,15466
2016-03-09,240.000000,249.000000,237.000000,243.750000,243.084442,16711
2016-03-10,248.500000,248.500000,238.300003,240.649994,239.992905,16524
2016-03-11,244.000000,245.649994,237.050003,240.050003,239.394562,28154
2016-03-14,242.050003,245.000000,238.250000,239.750000,239.095367,17237
2016-03-15,240.899994,270.950012,237.000000,239.600006,238.945786,57458
2016-03-16,239.000000,243.000000,238.000000,239.600006,238.945786,71874
2016-03-17,240.000000,241.949997,231.600006,234.699997,234.059158,94716
2016-03-18,235.000000,241.899994,234.949997,237.600006,236.951248,134872
2016-03-21,241.000000,243.899994,236.149994,238.800003,238.147964,72161
2016-03-22,239.800003,241.899994,235.550003,237.350006,236.701920,77912
2016-03-23,237.250000,250.000000,235.000000,246.850006,246.175995,70824
2016-03-28,248.350006,251.899994,245.600006,246.600006,245.926682,24753
2016-03-29,248.500000,248.800003,241.500000,242.550003,241.887726,46258
2016-03-30,243.500000,253.899994,241.600006,250.649994,249.965607,40977
2016-03-31,259.000000,259.799988,247.149994,252.800003,252.109741,49647
2016-04-01,256.000000,271.250000,253.000000,269.299988,268.564697,61518
2016-04-04,268.500000,280.000000,263.200012,273.500000,272.753235,45222
2016-04-05,269.899994,272.950012,264.000000,268.700012,267.966339,19233
2016-04-06,270.000000,275.000000,267.299988,271.049988,270.309906,15620
2016-04-07,268.100006,274.500000,267.500000,271.500000,270.758698,19455
2016-04-08,271.000000,280.450012,270.000000,278.600006,277.839325,32456
2016-04-11,275.799988,283.200012,274.500000,281.649994,280.880951,21072
2016-04-12,281.950012,283.600006,275.000000,279.899994,279.135712,43068
2016-04-13,279.100006,280.950012,274.000000,276.450012,275.695190,26298
2016-04-18,277.100006,281.399994,270.149994,271.899994,271.157562,34238
2016-04-20,277.000000,277.000000,269.200012,271.000000,270.260040,25088
2016-04-21,272.149994,272.799988,263.750000,265.000000,264.276428,31286
2016-04-22,272.000000,272.000000,261.000000,262.500000,261.783264,12080
2016-04-25,262.000000,264.000000,256.899994,260.100006,259.389801,15558
2016-04-26,261.500000,266.000000,257.000000,263.649994,262.930115,16675
2016-04-27,255.100006,264.500000,255.100006,260.450012,259.738861,17054
2016-04-28,262.649994,262.649994,255.250000,256.200012,255.500458,11833
2016-04-29,249.000000,259.700012,244.000000,249.550003,248.868607,36923
2016-05-02,246.550003,260.000000,243.149994,257.149994,256.447845,193603
