Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,6.800000,6.800000,6.640000,6.660000,1.331809,81112
2002-07-02,6.693330,6.693330,6.613330,6.633330,1.326476,56812
2002-07-03,6.666670,6.853330,6.626670,6.626670,1.325144,50085
2002-07-04,6.666670,6.733330,6.600000,6.660000,1.331809,168885
2002-07-05,6.680000,6.680000,6.600000,6.646670,1.329143,74438
2002-07-08,6.733330,7.280000,6.733330,7.173330,1.434460,51090
2002-07-09,7.300000,7.600000,7.200000,7.326670,1.465124,149872
2002-07-10,7.333330,7.333330,7.000000,7.040000,1.407798,110362
2002-07-11,7.000000,7.000000,6.880000,7.000000,1.399799,12450
2002-07-12,7.006670,7.053330,6.966670,7.026670,1.405132,35430
2002-07-15,7.000000,7.000000,6.726670,6.820000,1.363804,46208
2002-07-16,6.833330,6.866670,6.640000,6.660000,1.331809,41888
2002-07-17,6.640000,6.640000,6.540000,6.580000,1.315811,40110
2002-07-18,6.800000,7.193330,6.800000,6.866670,1.373137,57082
2002-07-19,6.900000,7.133330,6.753330,6.786670,1.357139,72862
2002-07-22,6.766670,6.800000,6.546670,6.586670,1.317145,40912
2002-07-23,6.666670,6.666670,6.460000,6.540000,1.307812,42000
2002-07-24,6.533330,6.546670,6.400000,6.486670,1.297148,59662
2002-07-25,6.500000,6.640000,6.066670,6.286670,1.257154,64860
2002-07-26,6.026670,6.386670,6.026670,6.113330,1.222490,46238
2002-07-29,6.066670,6.066670,5.846670,5.993330,1.198494,9615
2002-07-30,6.006670,6.253330,5.866670,5.873330,1.174498,56138
2002-07-31,6.000000,6.066670,5.773330,5.866670,1.173166,71992
2002-08-01,5.866670,6.093330,5.833330,5.966670,1.193163,42195
2002-08-02,5.866670,5.980000,5.866670,5.940000,1.187829,42375
2002-08-05,6.000000,6.133330,5.906670,5.946670,1.189163,70950
2002-08-06,5.960000,6.000000,5.900000,5.986670,1.197162,34838
2002-08-07,6.133330,6.133330,6.000000,6.006670,1.201162,36450
2002-08-08,6.126670,6.126670,5.866670,5.873330,1.174498,48375
2002-08-09,5.866670,5.866670,5.733330,5.806670,1.161168,39975
2002-08-12,6.000000,6.000000,5.873330,5.926670,1.185164,46860
2002-08-13,6.100000,6.100000,5.860000,5.873330,1.174498,26212
2002-08-14,5.873330,5.960000,5.853330,5.880000,1.175831,47452
2002-08-15,null,null,null,null,null,null
2002-08-16,5.740000,5.880000,5.740000,5.840000,1.167832,45825
2002-08-19,6.033330,6.033330,5.873330,5.886670,1.177165,46800
2002-08-20,5.953330,5.973330,5.873330,5.893330,1.178497,51458
2002-08-21,5.933330,5.946670,5.853330,5.853330,1.170498,32362
2002-08-22,5.833330,5.833330,5.466670,5.733330,1.146501,45300
2002-08-23,5.733330,5.733330,5.600000,5.673330,1.134503,34800
2002-08-26,5.640000,5.746670,5.613330,5.613330,1.122505,46275
2002-08-27,5.633330,5.846670,5.613330,5.700000,1.139836,46328
2002-08-28,5.600000,5.726670,5.526670,5.593330,1.118505,44212
2002-08-29,4.933330,5.793330,4.933330,5.226670,1.045184,43500
2002-08-30,4.573330,5.540000,4.573330,5.426670,1.085178,45982
2002-09-02,5.726670,5.733330,5.360000,5.406670,1.081179,21975
2002-09-03,5.613330,5.613330,5.340000,5.393330,1.078511,43125
2002-09-04,6.266670,6.266670,5.106670,5.286670,1.057182,46455
2002-09-05,6.200000,6.200000,5.133330,5.286670,1.057182,48728
2002-09-06,4.700000,5.466670,4.700000,5.293330,1.058514,53182
2002-09-09,5.266670,5.326670,5.200000,5.293330,1.058514,43650
2002-09-10,null,null,null,null,null,null
2002-09-11,5.226670,5.493330,5.186670,5.206670,1.041184,49028
2002-09-12,5.233330,5.353330,5.233330,5.286670,1.057182,45000
2002-09-13,5.200000,5.400000,5.200000,5.326670,1.065181,48825
2002-09-16,5.333330,5.333330,5.000000,5.140000,1.027852,46500
2002-09-17,4.533330,5.133330,4.533330,5.106670,1.021188,44070
2002-09-18,5.900000,5.900000,5.066670,5.240000,1.047850,42210
2002-09-19,5.893330,5.893330,5.200000,5.240000,1.047850,46748
2002-09-20,4.813330,5.373330,4.813330,5.200000,1.039851,44332
2002-09-23,5.200000,5.233330,5.133330,5.153330,1.030518,41430
2002-09-24,5.166670,5.233330,5.080000,5.120000,1.023853,40035
2002-09-25,5.246670,5.273330,5.073330,5.126670,1.025187,40890
2002-09-26,5.253330,5.266670,5.100000,5.113330,1.022519,39975
2002-09-27,5.280000,5.280000,5.133330,5.133330,1.026519,40538
2002-09-30,5.066670,5.080000,4.880000,4.946670,0.989192,55365
2002-10-01,5.000000,5.040000,4.893330,4.933330,0.986524,47805
2002-10-02,null,null,null,null,null,null
2002-10-03,4.826670,5.126670,4.826670,4.906670,0.981193,42420
2002-10-04,4.133330,4.933330,4.133330,4.853330,0.970527,42015
2002-10-07,5.000000,5.000000,4.746670,4.913330,0.982525,43500
2002-10-08,5.453330,5.453330,4.933330,5.046670,1.009189,29408
2002-10-09,5.053330,5.100000,4.973330,4.973330,0.994523,39375
2002-10-10,4.686670,4.966670,4.686670,4.960000,0.991858,39112
2002-10-11,4.800000,4.966670,4.800000,4.966670,0.993191,40125
2002-10-14,5.153330,5.153330,5.000000,5.060000,1.011855,44062
2002-10-15,null,null,null,null,null,null
2002-10-16,5.086670,5.086670,5.000000,5.006670,1.001190,47550
2002-10-17,5.046670,5.053330,4.793330,4.973330,0.994523,39525
2002-10-18,5.046670,5.046670,4.900000,5.006670,1.001190,43140
