Date,Open,High,Low,Close,Adj Close,Volume
2006-09-27,178.000000,178.000000,167.000000,167.800003,132.076752,4683
2006-09-28,170.750000,177.899994,169.750000,174.699997,137.507767,5403
2006-09-29,175.000000,184.300003,172.000000,182.250000,143.450439,9575
2006-10-03,190.000000,200.500000,189.899994,200.500000,157.815155,177913
2006-10-04,206.449997,210.550003,205.149994,210.550003,165.725632,33018
2006-10-05,221.100006,221.100006,221.100006,221.100006,174.029587,5560
2006-10-06,232.199997,232.199997,232.199997,232.199997,182.766510,4420
2006-10-09,243.850006,243.850006,232.899994,239.199997,188.276260,474214
2006-10-10,242.500000,251.199997,235.050003,240.250000,189.102707,246333
2006-10-11,243.000000,251.000000,228.250000,228.250000,179.657394,48458
2006-10-12,227.000000,239.699997,217.500000,239.699997,188.669830,145825
2006-10-13,248.399994,251.699997,245.050003,251.699997,198.115082,750467
2006-10-16,264.299988,264.299988,264.299988,264.299988,208.032669,108307
2006-10-17,277.549988,277.549988,277.500000,277.549988,218.461853,147137
2006-10-18,288.600006,291.450012,280.149994,291.450012,229.402618,503943
2006-10-19,306.049988,306.049988,278.000000,299.100006,235.424011,257201
2006-10-20,302.000000,308.799988,297.899994,302.100006,237.785400,130379
2006-10-23,304.000000,319.799988,295.600006,319.799988,251.717178,272018
2006-10-26,323.000000,335.799988,322.000000,335.799988,264.310852,652621
2006-10-27,349.700012,352.600006,338.549988,352.600006,277.534302,183080
2006-10-30,366.899994,370.250000,366.899994,370.250000,291.426788,43787
2006-10-31,370.250000,388.799988,363.000000,388.799988,306.027588,717225
2006-11-01,408.250000,408.250000,391.000000,408.250000,321.336823,394326
2006-11-02,426.250000,428.700012,411.100006,415.450012,327.004059,408989
2006-11-03,419.500000,419.500000,394.700012,396.750000,312.285095,157765
2006-11-06,380.000000,416.600006,376.950012,416.600006,327.909210,918831
2006-11-07,425.000000,437.450012,396.600006,402.299988,316.653534,219460
2006-11-08,405.000000,406.899994,382.200012,382.399994,300.990051,126641
2006-11-09,390.799988,401.549988,390.799988,401.549988,316.063232,177642
2006-11-10,421.450012,421.649994,406.000000,421.649994,331.884094,180206
2006-11-13,433.000000,442.750000,400.600006,414.750000,326.453094,271759
2006-11-14,420.000000,435.500000,412.250000,435.500000,342.785583,219973
2006-11-15,435.000000,457.299988,429.899994,454.750000,357.937378,322553
2006-11-16,460.000000,477.500000,451.149994,460.649994,362.581329,349606
2006-11-17,451.000000,460.000000,437.649994,437.649994,344.477814,83752
2006-11-20,430.000000,459.549988,415.799988,458.200012,360.652893,403325
2006-11-21,462.000000,481.149994,462.000000,481.149994,378.717041,242737
2006-11-22,502.950012,504.000000,475.000000,481.100006,378.677673,215106
2006-11-23,492.000000,494.000000,460.000000,485.250000,381.944183,144071
2006-11-24,480.000000,503.000000,480.000000,500.950012,394.301788,62592
2006-11-27,507.000000,522.000000,500.100006,509.100006,400.716705,137182
2006-11-28,507.000000,531.000000,490.049988,523.150024,411.775635,190919
2006-11-29,513.000000,549.000000,513.000000,539.099976,424.329956,26066
2006-11-30,563.000000,566.099976,536.000000,563.799988,443.771484,170136
2006-12-01,587.000000,592.000000,579.000000,592.000000,465.967957,39123
2006-12-04,615.000000,621.599976,611.099976,621.049988,488.833344,127997
2006-12-05,640.000000,640.000000,603.299988,630.299988,496.114136,378540
2006-12-06,630.000000,650.000000,605.000000,645.950012,508.432465,98272
2006-12-07,649.000000,650.000000,616.400024,631.900024,497.373657,55711
2006-12-08,630.000000,630.000000,600.299988,608.200012,478.719116,39176
2006-12-11,578.000000,615.000000,577.799988,577.799988,454.791077,12051
2006-12-12,549.700012,590.000000,548.950012,548.950012,432.083008,37492
2006-12-13,521.500000,569.000000,521.500000,534.900024,421.024200,131223
2006-12-14,548.400024,561.650024,541.000000,561.650024,442.079315,30592
2006-12-15,589.700012,589.750000,582.250000,589.750000,464.197021,81519
2006-12-18,616.599976,619.250000,590.000000,613.549988,482.930145,108199
2006-12-19,608.000000,618.000000,582.900024,585.599976,460.930481,39865
2006-12-20,600.000000,608.000000,556.349976,556.349976,437.907562,63108
2006-12-21,551.049988,560.000000,528.549988,529.849976,417.049133,53322
2006-12-22,553.000000,553.000000,512.000000,518.299988,407.958099,15307
2006-12-26,535.000000,544.250000,535.000000,544.250000,428.383514,12551
2006-12-27,565.000000,571.500000,565.000000,571.500000,449.832214,5934
2006-12-28,600.099976,600.099976,577.049988,597.849976,470.572510,34880
2006-12-29,568.000000,622.900024,568.000000,602.700012,474.390106,40534
2007-01-02,614.900024,621.450012,586.000000,592.650024,466.479523,19788
2007-01-03,610.500000,610.500000,575.000000,583.799988,459.513672,28403
2007-01-04,588.000000,613.000000,577.099976,595.299988,468.565430,54821
2007-01-05,595.299988,605.000000,570.099976,573.849976,451.681946,19251
2007-01-08,550.049988,589.950012,550.049988,561.900024,442.275940,38706
2007-01-09,550.049988,578.950012,537.500000,550.349976,433.184875,37465
2007-01-10,530.049988,560.000000,524.000000,535.000000,421.102814,69173
2007-01-11,540.000000,557.000000,536.099976,554.150024,436.175995,82732
2007-01-12,570.000000,581.900024,565.000000,581.900024,458.018158,101249
2007-01-15,null,null,null,null,null,null
2007-01-16,null,null,null,null,null,null
2007-01-17,null,null,null,null,null,null
2007-01-18,null,null,null,null,null,null
2007-01-19,null,null,null,null,null,null
2007-01-22,null,null,null,null,null,null
2007-01-23,null,null,null,null,null,null
2007-01-24,null,null,null,null,null,null
2007-01-25,null,null,null,null,null,null
2007-01-29,null,null,null,null,null,null
2007-01-31,null,null,null,null,null,null
2007-02-01,null,null,null,null,null,null
2007-02-02,null,null,null,null,null,null
2007-02-05,null,null,null,null,null,null
2007-02-06,null,null,null,null,null,null
2007-02-07,null,null,null,null,null,null
2007-02-08,null,null,null,null,null,null
2007-02-09,null,null,null,null,null,null
2007-02-12,null,null,null,null,null,null
2007-02-13,null,null,null,null,null,null
2007-02-14,433.950012,433.950012,433.950012,433.950012,341.565552,10145
2007-02-15,412.250000,455.649994,412.250000,455.649994,358.645813,66754
2007-02-19,460.049988,478.450012,460.000000,465.000000,366.005219,65979
2007-02-20,477.000000,481.000000,446.649994,446.799988,351.679871,7797
2007-02-21,444.950012,469.149994,424.500000,462.899994,364.352325,98184
2007-02-22,460.000000,460.000000,439.799988,440.149994,346.445618,5868
2007-02-23,418.149994,418.149994,418.149994,418.149994,329.129272,4757
2007-02-26,397.250000,397.250000,397.250000,397.250000,312.678680,805
2007-02-27,377.399994,406.000000,377.399994,377.399994,297.054596,48460
2007-02-28,358.549988,358.549988,358.549988,358.549988,282.217651,14245
2007-03-01,340.649994,340.649994,340.649994,340.649994,268.128387,4816
2007-03-02,null,null,null,null,null,null
2007-03-05,312.100006,312.100006,312.049988,312.049988,245.617081,280
2007-03-06,296.450012,311.000000,296.450012,296.450012,233.338196,197353
2007-03-07,283.200012,285.000000,283.200012,283.200012,222.909012,20208
2007-03-08,269.049988,269.049988,269.049988,269.049988,211.771408,571
2007-03-09,255.600006,282.500000,255.600006,278.899994,219.524460,151580
2007-03-12,289.899994,292.850006,287.500000,292.850006,230.504623,34801
2007-03-13,307.500000,307.500000,307.500000,307.500000,242.035751,15529
2007-03-14,314.000000,322.899994,292.200012,322.899994,254.157211,108636
2007-03-15,337.000000,339.049988,337.000000,339.049988,266.868927,8556
2007-03-16,356.000000,356.000000,339.049988,355.899994,280.131744,192851
2007-03-19,369.700012,370.000000,338.100006,347.350006,273.401978,130132
2007-03-20,348.000000,348.500000,330.000000,330.000000,259.745667,32637
2007-03-21,315.000000,330.500000,313.500000,313.500000,246.758392,47020
