Date,Open,High,Low,Close,Adj Close,Volume
2007-05-11,269.950012,278.799988,258.000000,258.000000,221.943878,4583
2007-05-14,270.000000,271.100006,261.049988,270.950012,233.084091,1276
2007-05-15,271.500000,273.700012,266.500000,270.500000,232.696960,560
2007-05-16,273.700012,284.049988,273.700012,284.049988,244.353317,2003
2007-05-17,298.000000,298.000000,280.500000,281.899994,242.503815,6166
2007-05-18,286.000000,290.000000,278.299988,281.700012,242.331741,3694
2007-05-21,281.000000,288.500000,279.000000,283.450012,243.837219,1378
2007-05-22,278.549988,288.000000,275.000000,278.899994,239.923004,391
2007-05-23,275.000000,285.000000,275.000000,277.149994,238.417618,4470
2007-05-24,276.000000,285.000000,276.000000,283.000000,243.450089,590
2007-05-25,288.000000,291.000000,277.000000,278.000000,239.148819,3282
2007-05-28,290.000000,290.000000,280.299988,283.350006,243.751190,597
2007-05-29,296.000000,297.549988,287.000000,297.549988,255.966660,4119
2007-05-30,300.000000,312.450012,300.000000,312.450012,268.784393,5242
2007-05-31,320.000000,328.100006,315.000000,328.100006,282.247253,6229
2007-06-01,null,null,null,null,null,null
2007-06-04,361.799988,361.799988,361.799988,361.799988,311.237579,165
2007-06-05,343.799988,375.000000,343.799988,365.899994,314.764557,24626
2007-06-06,356.250000,369.850006,347.600006,347.600006,299.022034,1860
2007-06-07,335.049988,348.000000,330.299988,340.000000,292.484161,5389
2007-06-08,340.000000,357.000000,340.000000,357.000000,307.108398,3623
2007-06-11,369.899994,374.850006,360.049988,368.649994,317.130249,11930
2007-06-12,377.000000,377.000000,350.250000,350.250000,301.301758,1971
2007-06-13,333.500000,343.700012,332.799988,335.399994,288.527039,8880
2007-06-14,347.000000,352.200012,347.000000,352.200012,302.979279,899
2007-06-15,null,null,null,null,null,null
2007-06-18,null,null,null,null,null,null
2007-06-19,null,null,null,null,null,null
2007-06-20,null,null,null,null,null,null
2007-06-21,null,null,null,null,null,null
2007-06-22,null,null,null,null,null,null
2007-06-25,null,null,null,null,null,null
2007-06-26,null,null,null,null,null,null
2007-06-27,null,null,null,null,null,null
2007-06-28,null,null,null,null,null,null
2007-06-29,null,null,null,null,null,null
2007-07-02,null,null,null,null,null,null
2007-07-03,null,null,null,null,null,null
2007-07-04,null,null,null,null,null,null
2007-07-05,null,null,null,null,null,null
2007-07-06,null,null,null,null,null,null
2007-07-09,null,null,null,null,null,null
2007-07-10,null,null,null,null,null,null
2007-07-11,null,null,null,null,null,null
