Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,5.763330,5.833330,5.696670,5.720000,1.263976,838110
2002-07-02,5.766670,5.820000,5.746670,5.790000,1.279444,688305
2002-07-03,5.793330,6.113330,5.793330,5.926670,1.309645,1731270
2002-07-04,5.993330,5.996670,5.883330,5.893330,1.302278,472860
2002-07-05,6.026670,6.026670,5.886670,5.910000,1.305961,688410
2002-07-08,6.000000,6.220000,5.966670,6.093330,1.346473,1625895
2002-07-09,6.133330,6.420000,6.133330,6.150000,1.358995,3097470
2002-07-10,6.216670,6.246670,5.890000,5.930000,1.310381,1085070
2002-07-11,5.916670,6.066670,5.800000,5.836670,1.289757,1050180
2002-07-12,5.933330,5.956670,5.766670,5.836670,1.289757,724590
2002-07-15,5.933330,5.933330,5.550000,5.570000,1.230830,505440
2002-07-16,5.583330,5.660000,5.466670,5.486670,1.212416,434490
2002-07-17,5.533330,5.583330,5.350000,5.380000,1.188845,307110
2002-07-18,5.486670,5.550000,5.473330,5.520000,1.219781,192525
2002-07-19,5.473330,5.550000,5.460000,5.500000,1.215361,156735
2002-07-22,5.266670,5.400000,5.200000,5.246670,1.159382,381180
2002-07-23,5.333330,5.400000,5.226670,5.380000,1.188845,246315
2002-07-24,5.340000,5.466670,5.286670,5.306670,1.172641,439710
2002-07-25,5.403330,5.466670,5.286670,5.343330,1.180741,265680
2002-07-26,5.213330,5.330000,5.166670,5.193330,1.147595,272610
2002-07-29,5.206670,5.206670,4.933330,5.096670,1.126236,353310
2002-07-30,5.200000,5.323330,5.133330,5.156670,1.139494,668580
2002-07-31,5.136670,5.426670,5.066670,5.390000,1.191054,522345
2002-08-01,5.333330,5.560000,5.333330,5.360000,1.184425,320190
2002-08-02,5.233330,5.353330,5.233330,5.336670,1.179270,178170
2002-08-05,5.513330,5.616670,5.343330,5.550000,1.226410,372630
2002-08-06,5.533330,5.630000,5.483330,5.536670,1.223464,868245
2002-08-07,5.513330,5.533330,5.400000,5.430000,1.199893,566250
2002-08-08,5.466670,5.466670,5.166670,5.193330,1.147595,239580
2002-08-09,5.326670,5.326670,5.213330,5.256670,1.161592,162750
2002-08-12,5.386670,5.580000,5.303330,5.496670,1.214625,653670
2002-08-13,5.550000,5.566670,5.406670,5.453330,1.205049,163125
2002-08-14,5.466670,5.493330,5.420000,5.450000,1.204313,150990
2002-08-15,null,null,null,null,null,null
2002-08-16,5.500000,5.523330,5.433330,5.456670,1.205787,198375
2002-08-19,5.466670,5.490000,5.370000,5.410000,1.195474,179040
2002-08-20,5.400000,5.500000,5.373330,5.473330,1.209468,100065
2002-08-21,5.483330,5.500000,5.433330,5.440000,1.202103,63450
2002-08-22,5.453330,5.476670,5.426670,5.433330,1.200629,43350
2002-08-23,5.466670,5.466670,5.366670,5.406670,1.194738,137160
2002-08-26,5.400000,5.433330,5.326670,5.360000,1.184425,82635
2002-08-27,5.366670,5.386670,5.233330,5.293330,1.169693,151935
2002-08-28,5.326670,5.356670,5.266670,5.293330,1.169693,65190
2002-08-29,5.333330,5.333330,5.140000,5.153330,1.138756,149865
2002-08-30,5.146670,5.226670,5.146670,5.203330,1.149805,217875
2002-09-02,5.333330,5.360000,5.266670,5.300000,1.171167,116835
2002-09-03,5.283330,5.300000,5.186670,5.196670,1.148333,67185
2002-09-04,5.196670,5.200000,5.146670,5.176670,1.143914,123300
2002-09-05,5.233330,5.246670,5.136670,5.156670,1.139494,118800
2002-09-06,5.166670,5.233330,5.123330,5.133330,1.134337,177960
2002-09-09,5.393330,5.393330,5.100000,5.106670,1.128445,90720
2002-09-10,null,null,null,null,null,null
2002-09-11,5.113330,5.153330,5.066670,5.100000,1.126972,102765
2002-09-12,5.133330,5.186670,5.076670,5.120000,1.131391,102345
2002-09-13,5.110000,5.160000,5.100000,5.143330,1.136547,51525
2002-09-16,5.136670,5.160000,5.106670,5.140000,1.135811,78360
2002-09-17,5.000000,5.233330,5.000000,5.076670,1.121817,114930
2002-09-18,5.100000,5.100000,5.033330,5.043330,1.114449,87120
2002-09-19,5.066670,5.066670,4.883330,4.916670,1.086460,216585
2002-09-20,4.803330,4.886670,4.803330,4.843330,1.070254,135675
2002-09-23,4.886670,4.890000,4.786670,4.806670,1.062153,133185
2002-09-24,4.800000,4.853330,4.706670,4.760000,1.051840,148530
2002-09-25,4.740000,4.790000,4.700000,4.756670,1.051105,83310
2002-09-26,4.820000,4.900000,4.820000,4.840000,1.069518,86895
2002-09-27,4.833330,4.890000,4.820000,4.840000,1.069518,54525
2002-09-30,4.700000,4.816670,4.666670,4.783330,1.056996,69060
2002-10-01,4.730000,4.823330,4.730000,4.773330,1.054785,121215
2002-10-02,null,null,null,null,null,null
2002-10-03,4.773330,4.823330,4.733330,4.763330,1.052576,69465
2002-10-04,4.733330,4.800000,4.720000,4.733330,1.045947,92175
2002-10-07,4.736670,4.813330,4.733330,4.796670,1.059943,114090
2002-10-08,4.783330,4.860000,4.783330,4.846670,1.070992,72930
2002-10-09,4.866670,4.923330,4.843330,4.873330,1.076883,92850
2002-10-10,4.820000,4.880000,4.800000,4.846670,1.070992,61050
2002-10-11,4.873330,4.886670,4.806670,4.826670,1.066573,63300
2002-10-14,4.896670,4.896670,4.823330,4.836670,1.068783,45975
2002-10-15,null,null,null,null,null,null
2002-10-16,4.850000,4.850000,4.800000,4.806670,1.062153,43710
2002-10-17,4.813330,4.850000,4.770000,4.803330,1.061415,37170
2002-10-18,4.883330,4.883330,4.800000,4.820000,1.065099,119625
2002-10-21,4.813330,4.853330,4.766670,4.773330,1.054785,83430
2002-10-22,4.786670,4.933330,4.700000,4.710000,1.040792,66270
2002-10-23,4.750000,4.833330,4.676670,4.703330,1.039318,158685
2002-10-24,4.793330,4.793330,4.523330,4.550000,1.005435,358425
2002-10-25,4.566670,4.600000,4.483330,4.566670,1.009119,98550
2002-10-28,3.736670,4.193330,3.653330,3.673330,0.811713,1755195
2002-10-29,3.706670,3.890000,3.706670,3.856670,0.852227,946335
2002-10-30,3.886670,3.953330,3.873330,3.896670,0.861066,312465
2002-10-31,3.873330,3.993330,3.873330,3.913330,0.864747,364635
2002-11-01,3.966670,3.983330,3.870000,3.953330,0.873586,253920
2002-11-04,3.960000,4.036670,3.913330,4.003330,0.884635,112275
2002-11-05,4.126670,4.126670,3.970000,4.070000,0.899367,189135
2002-11-06,null,null,null,null,null,null
2002-11-07,4.100000,4.200000,3.936670,4.013330,0.886845,372825
2002-11-08,4.000000,4.066670,3.973330,3.990000,0.881689,165300
2002-11-11,4.126670,4.126670,3.950000,3.973330,0.878006,105885
2002-11-12,4.233330,4.313330,3.873330,3.930000,0.868431,190605
2002-11-13,3.986670,3.986670,3.873330,3.906670,0.863276,139230
2002-11-14,3.900000,3.966670,3.866670,3.873330,0.855909,192195
2002-11-15,3.610000,3.966670,3.610000,3.926670,0.867695,184800
2002-11-18,3.933330,3.990000,3.873330,3.970000,0.877270,102345
2002-11-19,null,null,null,null,null,null
2002-11-20,3.986670,4.036670,3.936670,4.003330,0.884635,195720
2002-11-21,3.940000,4.153330,3.940000,4.053330,0.895684,183495
2002-11-22,4.126670,4.126670,4.033330,4.050000,0.894948,199950
2002-11-25,4.100000,4.106670,4.023330,4.083330,0.902313,131850
2002-11-26,4.096670,4.260000,4.060000,4.160000,0.919255,293085
2002-11-27,4.163330,4.180000,4.113330,4.130000,0.912626,172590
2002-11-28,4.120000,4.200000,4.120000,4.153330,0.917782,88785
2002-11-29,4.166670,4.253330,4.133330,4.226670,0.933988,172860
2002-12-02,4.330000,4.480000,4.260000,4.460000,0.985548,460620
2002-12-03,4.400000,4.513330,4.266670,4.296670,0.949456,269640
2002-12-04,4.296670,4.366670,4.250000,4.266670,0.942827,160800
2002-12-05,4.220000,4.313330,4.220000,4.240000,0.936933,69705
2002-12-06,4.266670,4.376670,4.226670,4.286670,0.947246,202470
2002-12-09,4.266670,4.353330,4.223330,4.243330,0.937669,181080
2002-12-10,4.243330,4.283330,4.200000,4.240000,0.936933,133860
2002-12-11,4.320000,4.320000,4.200000,4.210000,0.930304,90720
2002-12-12,4.223330,4.250000,4.200000,4.203330,0.928830,96645
2002-12-13,4.300000,4.406670,4.266670,4.286670,0.947246,157590
2002-12-16,4.220000,4.273330,4.216670,4.240000,0.936933,133425
2002-12-17,4.276670,4.276670,4.183330,4.203330,0.928830,102150
2002-12-18,4.190000,4.233330,4.173330,4.223330,0.933250,90390
2002-12-19,4.200000,4.233330,4.200000,4.206670,0.929568,91155
2002-12-20,4.166670,4.260000,4.166670,4.216670,0.931778,160620
2002-12-23,4.276670,4.380000,4.236670,4.313330,0.953137,299715
2002-12-24,4.333330,4.370000,4.286670,4.303330,0.950927,138495
2002-12-25,null,null,null,null,null,null
2002-12-26,4.333330,4.366670,4.273330,4.280000,0.945772,84210
2002-12-27,4.276670,4.310000,4.233330,4.266670,0.942827,163485
2002-12-30,4.280000,4.280000,4.186670,4.226670,0.933988,91260
2002-12-31,4.233330,4.276670,4.206670,4.243330,0.937669,64500
2003-01-01,4.176670,4.273330,4.176670,4.270000,0.943562,38760
2003-01-02,4.273330,4.313330,4.243330,4.260000,0.941353,130170
2003-01-03,4.303330,4.306670,4.233330,4.280000,0.945772,131370
2003-01-06,4.253330,4.366670,4.250000,4.273330,0.944298,114690
2003-01-07,4.270000,4.293330,4.233330,4.266670,0.942827,70155
2003-01-08,4.206670,4.286670,4.206670,4.256670,0.940617,47715
2003-01-09,4.236670,4.293330,4.223330,4.250000,0.939143,89745
2003-01-10,4.173330,4.276670,4.156670,4.180000,0.923675,218985
2003-01-13,4.330000,4.386670,4.216670,4.326670,0.956085,301845
2003-01-14,4.383330,4.383330,4.293330,4.313330,0.953137,193485
2003-01-15,4.266670,4.333330,4.266670,4.300000,0.950192,94215
2003-01-16,4.326670,4.326670,4.220000,4.273330,0.944298,179010
2003-01-17,4.323330,4.360000,4.243330,4.333330,0.957557,127335
2003-01-20,4.336670,4.386670,4.333330,4.340000,0.959031,163560
2003-01-21,4.300000,4.323330,4.216670,4.276670,0.945036,89565
2003-01-22,4.266670,4.363330,4.233330,4.293330,0.948718,75225
2003-01-23,4.316670,4.326670,4.226670,4.246670,0.938407,174390
2003-01-24,4.266670,4.276670,4.146670,4.170000,0.921465,157755
2003-01-27,4.166670,4.193330,4.013330,4.080000,0.901577,145500
2003-01-28,4.200000,4.200000,3.986670,4.046670,0.894212,191550
2003-01-29,4.313330,4.313330,4.030000,4.083330,0.902313,71400
2003-01-30,4.133330,4.133330,4.003330,4.030000,0.890529,81450
2003-01-31,4.000000,4.180000,4.000000,4.106670,0.907471,151230
2003-02-03,3.980000,4.093330,3.903330,4.013330,0.886845,236550
2003-02-04,4.006670,4.056670,3.886670,3.906670,0.863276,187020
2003-02-05,3.930000,3.963330,3.820000,3.870000,0.855173,137850
2003-02-06,3.860000,3.916670,3.810000,3.856670,0.852227,134685
2003-02-07,3.883330,3.890000,3.780000,3.813330,0.842650,121395
2003-02-10,3.850000,3.850000,3.766670,3.773330,0.833811,53850
2003-02-11,3.800000,3.813330,3.736670,3.750000,0.828656,108240
2003-02-12,3.623330,3.720000,3.616670,3.646670,0.805822,120120
2003-02-13,null,null,null,null,null,null
2003-02-14,3.653330,3.653330,3.586670,3.613330,0.798455,84855
2003-02-17,3.806670,3.806670,3.683330,3.693330,0.816133,123990
2003-02-18,3.866670,3.866670,3.720000,3.733330,0.824972,79905
2003-02-19,3.766670,3.833330,3.733330,3.760000,0.830865,104130
2003-02-20,3.750000,3.810000,3.733330,3.760000,0.830865,48030
2003-02-21,3.740000,3.786670,3.716670,3.730000,0.824236,57675
2003-02-24,3.733330,3.766670,3.666670,3.730000,0.824236,84420
2003-02-25,3.666670,3.760000,3.650000,3.666670,0.810242,213150
2003-02-26,3.666670,3.753330,3.666670,3.696670,0.816871,85395
2003-02-27,3.670000,3.746670,3.666670,3.716670,0.821291,103320
2003-02-28,3.726670,3.766670,3.673330,3.710000,0.819817,73890
2003-03-03,4.066670,4.066670,3.653330,3.686670,0.814661,143925
2003-03-04,3.733330,3.733330,3.660000,3.660000,0.808768,62340
2003-03-05,3.666670,3.676670,3.600000,3.660000,0.808768,97065
2003-03-06,3.606670,3.713330,3.606670,3.660000,0.808768,77550
2003-03-07,3.616670,3.666670,3.533330,3.550000,0.784461,117345
2003-03-10,3.540000,3.570000,3.500000,3.543330,0.782987,101895
2003-03-11,3.500000,3.533330,3.406670,3.456670,0.763837,82515
2003-03-12,3.466670,3.510000,3.443330,3.463330,0.765309,95490
2003-03-13,3.526670,3.526670,3.400000,3.413330,0.754260,83955
2003-03-14,null,null,null,null,null,null
2003-03-17,3.460000,3.460000,3.300000,3.316670,0.732901,165975
2003-03-18,null,null,null,null,null,null
2003-03-19,3.333330,3.360000,3.323330,3.350000,0.740265,209160
2003-03-20,3.273330,3.370000,3.273330,3.343330,0.738792,76185
2003-03-21,3.383330,3.433330,3.323330,3.376670,0.746159,191355
2003-03-24,3.400000,3.450000,3.336670,3.363330,0.743211,79005
2003-03-25,3.380000,3.396670,3.203330,3.380000,0.746895,182460
2003-03-26,3.333330,3.446670,3.326670,3.350000,0.740265,155145
2003-03-27,3.373330,3.393330,3.333330,3.340000,0.738056,101070
2003-03-28,3.330000,3.383330,3.330000,3.360000,0.742475,44175
2003-03-31,3.333330,3.350000,3.143330,3.193330,0.705646,146340
2003-04-01,3.213330,3.293330,3.213330,3.273330,0.723324,89100
2003-04-02,3.300000,3.373330,3.286670,3.323330,0.734372,40305
2003-04-03,3.380000,3.446670,3.346670,3.396670,0.750579,65850
2003-04-04,3.400000,3.593330,3.356670,3.586670,0.792564,56445
2003-04-07,3.593330,3.660000,3.566670,3.643330,0.805084,116280
2003-04-08,3.506670,3.666670,3.506670,3.636670,0.803613,130215
2003-04-09,3.600000,3.633330,3.576670,3.603330,0.796245,117480
2003-04-10,3.606670,3.613330,3.493330,3.536670,0.781515,135630
2003-04-11,3.566670,3.566670,3.480000,3.506670,0.774886,58350
2003-04-14,null,null,null,null,null,null
2003-04-15,3.523330,3.593330,3.506670,3.523330,0.778567,64560
2003-04-16,3.566670,3.573330,3.513330,3.520000,0.777831,29850
2003-04-17,3.500000,3.500000,3.400000,3.430000,0.757944,50775
2003-04-18,null,null,null,null,null,null
2003-04-21,3.463330,3.476670,3.430000,3.460000,0.764573,47190
2003-04-22,3.483330,3.483330,3.400000,3.436670,0.759418,52230
2003-04-23,3.460000,3.473330,3.450000,3.453330,0.763099,40725
2003-04-24,3.483330,3.483330,3.400000,3.423330,0.756470,76470
2003-04-25,3.410000,3.480000,3.400000,3.466670,0.766047,43575
2003-04-28,3.466670,3.600000,3.440000,3.563330,0.787406,144420
2003-04-29,3.663330,3.726670,3.573330,3.686670,0.814661,234105
2003-04-30,3.570000,3.826670,3.570000,3.763330,0.831601,258825
2003-05-01,null,null,null,null,null,null
2003-05-02,3.753330,3.863330,3.690000,3.843330,0.849279,127545
2003-05-05,3.983330,4.103330,3.903330,4.020000,0.888319,483930
2003-05-06,4.093330,4.133330,3.933330,3.960000,0.875060,313065
2003-05-07,3.996670,4.060000,3.910000,3.933330,0.869167,88230
2003-05-08,3.973330,3.973330,3.846670,3.886670,0.858856,90060
2003-05-09,3.886670,4.100000,3.800000,4.023330,0.889055,434595
2003-05-12,4.133330,4.333330,4.080000,4.210000,0.930304,958590
2003-05-13,4.200000,4.400000,4.200000,4.306670,0.951666,1008555
2003-05-14,4.340000,4.550000,4.293330,4.453330,0.984074,926070
2003-05-15,4.500000,4.653330,4.450000,4.490000,0.992177,663090
2003-05-16,4.656670,4.656670,4.350000,4.373330,0.966396,222510
2003-05-19,4.400000,4.483330,4.276670,4.296670,0.949456,290340
2003-05-20,3.976670,4.383330,3.833330,4.263330,0.942089,209610
2003-05-21,4.333330,4.450000,4.333330,4.356670,0.962714,440385
2003-05-22,4.366670,4.423330,4.316670,4.340000,0.959031,272535
2003-05-23,4.493330,4.493330,4.283330,4.343330,0.959767,230160
2003-05-26,4.500000,4.500000,4.366670,4.390000,0.970080,283950
2003-05-27,4.460000,4.466670,4.400000,4.403330,0.973025,205905
2003-05-28,4.420000,4.460000,4.363330,4.416670,0.975973,130905
2003-05-29,4.446670,4.450000,4.366670,4.390000,0.970080,173025
2003-05-30,4.420000,4.856670,4.420000,4.730000,1.045211,1533720
2003-06-02,4.780000,4.933330,4.780000,4.833330,1.068044,908925
2003-06-03,4.900000,4.900000,4.653330,4.676670,1.033427,317655
2003-06-04,4.666670,4.766670,4.633330,4.693330,1.037108,284370
2003-06-05,4.800000,4.840000,4.606670,4.650000,1.027533,381090
2003-06-06,4.600000,4.820000,4.600000,4.746670,1.048895,474465
2003-06-09,4.773330,4.893330,4.670000,4.783330,1.056996,396525
2003-06-10,4.733330,4.800000,4.640000,4.666670,1.031217,345135
2003-06-11,4.666670,4.726670,4.633330,4.690000,1.036372,248475
2003-06-12,4.533330,4.780000,4.533330,4.673330,1.032688,241500
2003-06-13,4.730000,4.766670,4.666670,4.680000,1.034162,205845
2003-06-16,4.733330,5.006670,4.733330,4.920000,1.087196,1019445
2003-06-17,4.953330,5.123330,4.953330,5.046670,1.115187,1385250
2003-06-18,5.246670,5.846670,5.200000,5.313330,1.174112,11827455
2003-06-19,5.460000,5.526670,5.276670,5.336670,1.179270,3760290
2003-06-20,5.433330,5.576670,5.373330,5.490000,1.213152,2399760
2003-06-23,5.336670,5.336670,4.733330,4.853330,1.072464,3190845
2003-06-24,4.753330,4.886670,4.686670,4.713330,1.041527,1597500
2003-06-25,4.786670,4.860000,4.710000,4.746670,1.048895,1060725
2003-06-26,4.766670,4.820000,4.633330,4.666670,1.031217,692565
2003-06-27,4.730000,4.763330,4.666670,4.716670,1.042265,559575
2003-06-30,4.773330,4.926670,4.750000,4.790000,1.058470,987705
2003-07-01,4.860000,4.900000,4.793330,4.830000,1.067309,663075
2003-07-02,4.866670,5.243330,4.866670,5.076670,1.121817,2953965
2003-07-03,4.666670,5.193330,4.666670,4.903330,1.083513,1095165
2003-07-04,4.900000,5.000000,4.850000,4.916670,1.086460,495315
2003-07-07,4.900000,4.980000,4.880000,4.896670,1.082041,332160
2003-07-08,4.933330,4.960000,4.796670,4.816670,1.064363,673530
2003-07-09,4.916670,4.916670,4.673330,4.716670,1.042265,433275
2003-07-10,4.713330,4.766670,4.533330,4.596670,1.015748,635430
2003-07-11,4.600000,4.666670,4.533330,4.563330,1.008381,608190
2003-07-14,4.666670,4.986670,4.666670,4.670000,1.031953,601950
2003-07-15,4.806670,4.806670,4.540000,4.593330,1.015010,470685
2003-07-16,4.666670,4.666670,4.550000,4.590000,1.014274,302235
2003-07-17,4.666670,4.666670,4.500000,4.550000,1.005435,389565
2003-07-18,4.546670,4.596670,4.406670,4.463330,0.986283,271665
2003-07-21,4.473330,4.550000,4.350000,4.376670,0.967134,330915
2003-07-22,4.350000,4.400000,4.273330,4.290000,0.947982,270030
2003-07-23,4.316670,4.386670,4.286670,4.303330,0.950927,270975
2003-07-24,4.286670,4.376670,4.220000,4.346670,0.960505,308685
