Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,6.800000,7.300000,6.400000,7.200000,2.428035,100980
2002-07-02,7.200000,7.220000,6.450000,7.080000,2.387567,42165
2002-07-03,7.090000,7.330000,6.800000,6.950000,2.343728,40590
2002-07-04,7.200000,7.920000,6.920000,7.730000,2.606765,81025
2002-07-05,7.960000,8.200000,7.620000,7.870000,2.653977,65425
2002-07-08,8.280000,8.600000,7.610000,7.800000,2.630371,39575
2002-07-09,8.000000,8.160000,7.250000,7.490000,2.525831,27275
2002-07-10,8.000000,8.000000,7.200000,7.550000,2.546064,16835
2002-07-11,7.120000,7.340000,7.120000,7.250000,2.444896,17305
2002-07-12,7.200000,7.200000,6.950000,7.010000,2.363962,24230
2002-07-15,6.660000,7.170000,6.600000,6.690000,2.256049,29505
2002-07-16,5.810000,6.680000,5.810000,6.500000,2.191976,9175
2002-07-17,6.320000,6.320000,5.870000,6.140000,2.070574,26690
2002-07-18,6.200000,6.400000,6.120000,6.390000,2.154881,7375
2002-07-19,6.200000,6.370000,6.200000,6.280000,2.117786,3825
2002-07-22,6.080000,6.600000,6.080000,6.160000,2.077319,20650
2002-07-23,6.200000,6.200000,6.060000,6.060000,2.043596,500
2002-07-24,6.000000,6.000000,5.920000,5.930000,1.999757,1750
2002-07-25,6.100000,6.120000,6.100000,6.120000,2.063830,4750
2002-07-26,5.600000,5.890000,5.480000,5.650000,1.905333,14800
2002-07-29,4.900000,5.200000,4.830000,4.960000,1.672647,29950
2002-07-30,5.200000,5.580000,5.200000,5.210000,1.756953,7350
2002-07-31,4.280000,4.870000,4.280000,4.870000,1.642296,1005
2002-08-01,5.200000,5.200000,4.990000,5.180000,1.746836,11750
2002-08-02,5.000000,5.020000,4.800000,4.820000,1.625435,18050
2002-08-05,5.000000,5.000000,5.000000,5.000000,1.686135,3500
2002-08-06,5.200000,5.200000,5.000000,5.000000,1.686135,1250
2002-08-07,5.140000,5.320000,5.140000,5.290000,1.783931,3350
2002-08-08,null,null,null,null,null,null
2002-08-09,4.940000,4.980000,4.940000,4.980000,1.679391,1500
2002-08-12,5.240000,5.240000,5.040000,5.040000,1.699624,1250
2002-08-13,null,null,null,null,null,null
2002-08-14,5.100000,5.100000,5.100000,5.100000,1.719858,2500
2002-08-15,null,null,null,null,null,null
2002-08-16,5.010000,5.010000,5.010000,5.010000,1.689508,1000
2002-08-19,5.100000,5.100000,5.050000,5.050000,1.702997,1475
2002-08-20,4.740000,5.140000,4.740000,4.870000,2.336224,3010
2002-08-21,4.780000,4.780000,4.780000,4.780000,2.293049,5
2002-08-22,4.820000,4.820000,4.820000,4.820000,2.312238,150
2002-08-23,4.680000,4.850000,4.680000,4.850000,2.326629,1000
2002-08-26,4.710000,5.300000,4.710000,4.800000,2.302644,1375
2002-08-27,5.160000,5.160000,4.850000,4.850000,2.326629,255
2002-08-28,4.830000,4.830000,4.830000,4.830000,2.317035,1250
2002-08-29,4.800000,4.800000,4.750000,4.750000,2.278658,7425
2002-08-30,4.700000,4.720000,4.700000,4.720000,2.264266,2750
2002-09-02,4.850000,4.850000,4.800000,4.800000,2.302644,2800
2002-09-03,4.620000,4.620000,4.620000,4.620000,2.216294,1250
2002-09-04,4.490000,4.490000,4.480000,4.480000,2.149134,2500
2002-09-05,4.550000,4.550000,4.550000,4.550000,2.182714,750
2002-09-06,4.800000,4.800000,4.510000,4.510000,2.163526,750
2002-09-09,null,null,null,null,null,null
2002-09-10,null,null,null,null,null,null
2002-09-11,4.700000,4.750000,4.400000,4.400000,2.110757,2530
2002-09-12,null,null,null,null,null,null
2002-09-13,4.290000,4.290000,4.290000,4.290000,2.057988,2500
2002-09-16,4.310000,4.310000,4.310000,4.310000,2.067583,500
2002-09-17,4.300000,4.310000,4.300000,4.310000,2.067583,4000
2002-09-18,4.960000,4.960000,4.310000,4.310000,2.067583,10
2002-09-19,3.970000,3.970000,3.970000,3.970000,1.904479,5
2002-09-20,null,null,null,null,null,null
2002-09-23,4.340000,4.340000,4.340000,4.340000,2.081974,2495
2002-09-24,3.810000,4.340000,3.810000,4.300000,2.062785,6430
2002-09-25,4.300000,4.300000,4.300000,4.300000,2.062785,2500
2002-09-26,4.220000,4.220000,4.220000,4.220000,2.024407,500
2002-09-27,4.200000,4.400000,4.200000,4.400000,2.110757,3750
2002-09-30,null,null,null,null,null,null
2002-10-01,4.350000,4.350000,4.350000,4.350000,2.086771,1000
2002-10-02,null,null,null,null,null,null
2002-10-03,4.300000,4.300000,4.300000,4.300000,2.062785,250
2002-10-04,4.350000,4.350000,4.350000,4.350000,2.086771,250
2002-10-07,4.980000,4.980000,4.400000,4.400000,2.110757,4500
2002-10-08,4.410000,4.410000,4.400000,4.400000,2.110757,5000
2002-10-09,4.450000,4.450000,4.450000,4.450000,2.134742,500
2002-10-10,4.400000,4.400000,4.400000,4.400000,2.110757,2750
2002-10-11,4.450000,4.500000,4.410000,4.500000,2.158728,1500
2002-10-14,4.200000,4.400000,4.200000,4.380000,2.101162,1120
2002-10-15,null,null,null,null,null,null
2002-10-16,null,null,null,null,null,null
2002-10-17,null,null,null,null,null,null
2002-10-18,4.250000,4.260000,4.250000,4.260000,2.043596,1600
2002-10-21,4.160000,4.340000,4.160000,4.310000,2.067583,3125
2002-10-22,4.160000,4.160000,4.160000,4.160000,1.995625,2500
2002-10-23,4.180000,4.180000,4.120000,4.120000,1.976436,1130
2002-10-24,null,null,null,null,null,null
2002-10-25,3.820000,4.400000,3.820000,4.060000,1.947653,4255
2002-10-28,4.200000,4.200000,4.200000,4.200000,2.014813,2500
2002-10-29,4.200000,4.200000,4.110000,4.110000,1.971639,2000
2002-10-30,4.180000,4.180000,4.180000,4.180000,2.005219,250
2002-10-31,null,null,null,null,null,null
2002-11-01,4.420000,4.500000,3.850000,4.300000,2.062785,8880
2002-11-04,null,null,null,null,null,null
2002-11-05,null,null,null,null,null,null
2002-11-06,null,null,null,null,null,null
2002-11-07,4.200000,4.200000,4.200000,4.200000,2.014813,500
2002-11-08,4.100000,4.300000,4.010000,4.280000,2.053191,8750
2002-11-11,null,null,null,null,null,null
2002-11-12,3.940000,3.940000,3.940000,3.940000,1.890087,5
2002-11-13,null,null,null,null,null,null
2002-11-14,null,null,null,null,null,null
2002-11-15,3.900000,4.200000,3.900000,4.200000,2.014813,2700
2002-11-18,3.910000,3.910000,3.910000,3.910000,1.875695,5
2002-11-19,null,null,null,null,null,null
2002-11-20,4.050000,4.050000,4.050000,4.050000,1.942855,50
2002-11-21,4.000000,4.200000,3.850000,4.060000,1.947653,6660
2002-11-22,4.380000,4.380000,4.100000,4.140000,1.986031,4090
2002-11-25,4.550000,4.550000,4.200000,4.240000,2.034002,510
2002-11-26,4.660000,4.660000,3.950000,4.350000,2.086771,510
2002-11-27,4.580000,4.580000,4.010000,4.230000,2.029205,1520
2002-11-28,4.650000,4.650000,4.150000,4.150000,1.990827,2010
2002-11-29,4.020000,4.390000,4.020000,4.380000,2.101162,12515
2002-12-02,4.090000,4.400000,4.090000,4.400000,2.110757,4005
2002-12-03,3.960000,4.680000,3.960000,4.230000,2.029205,1005
2002-12-04,4.050000,4.250000,4.050000,4.250000,2.038799,8265
2002-12-05,3.960000,4.470000,3.960000,4.270000,2.048393,9310
2002-12-06,4.370000,4.400000,4.240000,4.340000,2.081974,10505
2002-12-09,3.950000,4.550000,3.950000,4.550000,2.182714,6605
2002-12-10,4.150000,4.790000,4.150000,4.530000,2.173120,10275
2002-12-11,4.350000,4.350000,4.340000,4.340000,2.081974,2000
2002-12-12,4.310000,4.310000,4.310000,4.310000,2.067583,1000
2002-12-13,4.310000,4.400000,4.310000,4.400000,2.110757,1500
2002-12-16,4.250000,4.670000,4.230000,4.280000,2.053191,10250
2002-12-17,4.240000,4.240000,4.220000,4.240000,2.034002,1750
2002-12-18,4.330000,4.350000,4.330000,4.350000,2.086771,37500
2002-12-19,4.300000,4.300000,4.240000,4.280000,2.053191,6500
2002-12-20,4.420000,4.420000,4.210000,4.210000,2.019610,3500
2002-12-23,4.230000,4.260000,4.230000,4.260000,2.043596,2750
2002-12-24,4.200000,4.200000,3.880000,4.010000,1.923667,30350
2002-12-25,null,null,null,null,null,null
2002-12-26,4.000000,4.100000,4.000000,4.100000,1.966841,1000
2002-12-27,4.010000,4.080000,4.010000,4.070000,1.952450,5755
2002-12-30,3.840000,3.840000,3.840000,3.840000,1.842115,5
2002-12-31,4.020000,4.200000,4.020000,4.040000,1.938059,32035
2003-01-01,4.030000,4.030000,4.030000,4.030000,1.933261,3600
2003-01-02,4.010000,4.100000,4.010000,4.060000,1.947653,9825
2003-01-03,4.010000,4.050000,3.970000,4.050000,1.942855,12820
2003-01-06,3.890000,4.100000,3.890000,3.950000,1.894884,21515
2003-01-07,3.740000,4.270000,3.740000,4.270000,2.048393,1390
2003-01-08,4.030000,4.280000,4.030000,4.280000,2.053191,1150
2003-01-09,4.010000,4.050000,3.990000,4.030000,1.933261,3560
2003-01-10,4.100000,4.440000,4.100000,4.310000,2.067583,6780
