Date,Open,High,Low,Close,Adj Close,Volume
2018-01-22,465.000000,480.000000,441.750000,441.750000,434.686920,1038204
2018-01-23,419.700012,419.700012,419.700012,419.700012,412.989471,24598
2018-01-24,398.750000,398.750000,398.750000,398.750000,392.374451,13765
2018-01-25,378.850006,378.850006,378.850006,378.850006,372.792603,16990
2018-01-29,380.000000,394.399994,359.950012,361.750000,355.966034,827471
2018-01-30,351.000000,355.000000,343.700012,343.700012,338.204620,90338
2018-01-31,326.549988,360.850006,326.549988,357.600006,351.882355,574223
2018-02-01,364.000000,364.500000,339.750000,339.750000,334.317780,194019
2018-02-02,323.049988,332.000000,322.799988,322.799988,317.638763,95949
2018-02-05,306.700012,322.399994,306.700012,314.100006,309.077911,160312
2018-02-06,290.100006,313.899994,285.200012,308.500000,303.567413,247979
2018-02-07,314.450012,340.649994,312.500000,327.299988,322.066803,449009
2018-02-08,330.000000,338.450012,321.100006,323.950012,318.770416,217011
2018-02-09,315.000000,331.399994,311.000000,322.350006,317.195984,176847
2018-02-12,326.250000,328.299988,321.500000,322.600006,317.441986,91838
2018-02-14,317.000000,317.500000,308.049988,309.399994,304.453064,177469
2018-02-15,310.149994,314.399994,308.299988,311.549988,306.568665,109723
2018-02-16,313.000000,313.899994,301.000000,302.750000,297.909363,98752
2018-02-19,306.000000,306.000000,295.250000,296.299988,291.562500,73039
2018-02-20,296.299988,299.000000,287.950012,288.450012,283.838043,71560
2018-02-21,291.000000,293.950012,280.500000,281.350006,276.851532,71958
2018-02-22,281.950012,331.899994,275.600006,321.250000,316.113556,999388
2018-02-23,321.250000,328.750000,310.000000,312.500000,307.503510,311957
2018-02-26,314.500000,323.649994,310.000000,311.100006,306.125885,124168
2018-02-27,313.350006,314.450012,302.000000,303.299988,298.450562,94706
2018-02-28,302.600006,314.000000,296.649994,303.700012,298.844208,117019
2018-03-01,303.649994,309.399994,300.000000,301.450012,296.630157,81640
2018-03-05,300.000000,304.200012,296.000000,297.899994,293.136902,76580
2018-03-06,301.000000,302.950012,284.000000,287.750000,283.149200,84241
2018-03-07,286.000000,293.000000,279.649994,281.399994,276.900726,82019
2018-03-08,284.000000,286.799988,276.000000,281.700012,277.195923,61535
2018-03-09,284.700012,286.000000,278.149994,279.149994,274.686707,42260
2018-03-12,282.000000,283.299988,275.100006,277.350006,272.915497,50520
2018-03-13,275.000000,284.500000,275.000000,280.100006,275.621521,69146
2018-03-14,280.200012,280.200012,275.399994,277.750000,273.309082,32321
2018-03-15,279.399994,291.700012,277.850006,282.500000,277.983154,102393
2018-03-16,284.000000,285.450012,281.000000,281.899994,277.392731,50770
2018-03-19,282.000000,283.450012,275.049988,275.799988,271.390259,53186
2018-03-20,275.000000,280.000000,275.000000,276.200012,271.783905,40941
2018-03-21,277.000000,283.149994,274.250000,275.299988,270.898254,48318
2018-03-22,278.000000,278.000000,268.000000,268.899994,264.600616,45926
2018-03-23,260.200012,263.899994,256.049988,258.100006,253.973282,74507
2018-03-26,256.100006,264.299988,250.050003,250.800003,246.789993,62247
2018-03-27,254.000000,261.600006,252.000000,253.199997,249.151627,58925
2018-03-28,252.000000,254.899994,244.199997,245.100006,241.181137,73979
2018-04-02,246.000000,268.000000,244.500000,252.850006,248.807220,158621
2018-04-03,250.699997,256.899994,249.100006,253.500000,249.446823,66334
2018-04-04,255.800003,264.799988,252.199997,253.600006,249.545227,139069
2018-04-05,258.000000,262.500000,255.600006,257.500000,253.382858,87461
2018-04-06,259.000000,259.000000,254.050003,256.100006,252.005264,26731
2018-04-09,257.000000,264.299988,256.149994,260.500000,256.334869,247295
2018-04-10,262.899994,263.450012,257.049988,257.500000,253.382858,28882
2018-04-11,259.700012,259.700012,255.850006,256.799988,252.694061,21867
2018-04-12,257.000000,260.950012,254.500000,255.350006,251.267258,22367
2018-04-13,257.450012,261.799988,253.399994,254.250000,250.184830,56479
2018-04-16,252.050003,254.000000,250.000000,251.149994,247.134399,36036
2018-04-17,252.899994,253.000000,250.000000,250.250000,246.248779,22984
2018-04-18,252.000000,252.000000,244.100006,245.000000,241.082718,46517
2018-04-19,245.000000,246.899994,240.350006,242.399994,238.524277,46683
2018-04-20,241.800003,242.850006,239.850006,240.399994,236.556274,35344
