Date,Open,High,Low,Close,Adj Close,Volume
2015-05-21,419.104004,424.610992,387.834991,417.843994,394.208710,2376
2015-05-22,422.838013,438.705994,420.036987,427.270996,403.102539,2932
2015-05-25,385.501007,437.772003,385.501007,415.416992,391.919006,2591
2015-05-26,433.105011,433.105011,403.329010,416.816986,393.239807,1869
2015-05-27,413.503998,429.372009,373.367004,409.957001,386.767883,2200
2015-05-28,404.169006,420.036987,373.367004,393.295013,371.048340,3935
2015-05-29,384.567993,433.479004,373.833008,421.717987,397.863586,8118
2015-06-01,459.240997,462.040985,431.285004,441.412994,416.444489,14696
2015-06-02,438.705994,445.239990,418.871002,424.330994,400.328827,9758
2015-06-03,434.039001,434.039001,379.294006,405.756012,382.804504,6697
2015-06-04,399.596008,401.368988,377.753998,387.274994,365.368866,3255
2015-06-05,391.101990,398.615997,379.901001,382.794006,361.141296,4596
2015-06-08,392.967987,402.303009,367.485992,380.321014,358.808258,1085
2015-06-09,373.367004,381.674011,361.231995,363.332001,342.780212,1679
2015-06-10,364.966003,386.433990,364.032013,367.299011,346.522797,597
2015-06-11,380.226990,401.321991,357.639008,369.352997,348.460632,4072
2015-06-12,362.165985,387.321014,345.411011,354.511993,334.459106,1163
2015-06-15,359.364990,359.364990,334.957001,337.942993,318.827332,4379
2015-06-16,336.542999,348.164001,326.789001,332.390015,313.588409,2025
2015-06-17,332.295990,369.632996,332.295990,359.785004,339.433838,14063
2015-06-18,364.453003,373.367004,350.031006,356.052002,335.911957,4762
2015-06-19,354.697998,362.165985,351.151001,360.019012,339.654572,4900
2015-06-22,368.700012,369.632996,340.696991,349.518005,329.747589,4482
2015-06-23,350.031006,356.565002,341.256989,353.858002,333.842072,3907
2015-06-24,347.743988,361.372009,345.364014,348.490997,328.778687,601
2015-06-25,348.164001,350.031006,334.816986,340.324005,321.073639,2447
2015-06-26,338.829987,347.697998,337.010010,341.584015,322.262390,2076
2015-06-29,336.029999,381.533997,327.722992,368.139008,347.315338,7072
2015-06-30,368.746002,441.739014,363.191986,439.825989,414.947357,26359
2015-07-01,460.174011,471.375000,434.131989,443.325989,418.249359,26925
2015-07-02,456.441010,456.813995,420.036987,442.718994,417.676666,9148
2015-07-03,442.718994,447.572998,432.592010,438.471985,413.669891,4552
