Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,8.420410,8.789720,8.420410,8.494270,6.310391,2280142
2002-07-02,8.789720,8.789720,8.346540,8.383470,6.228076,2079430
2002-07-03,8.420410,8.642000,8.272680,8.420410,6.255520,1539559
2002-07-04,8.826650,9.048240,8.346540,8.734320,6.488723,5315564
2002-07-05,9.029780,9.214430,8.715860,9.122110,6.776812,3911577
2002-07-08,9.269830,9.823810,9.251370,9.546820,7.092330,6725053
2002-07-09,9.602220,10.063900,9.565290,9.731480,7.229513,4342373
2002-07-10,9.786870,9.897670,9.362160,9.454490,7.023738,2525257
2002-07-11,9.380630,9.399090,9.085170,9.122110,6.776812,2818646
2002-07-12,9.417560,9.602220,9.232900,9.454490,7.023738,2092427
2002-07-15,9.509890,9.546820,9.029780,9.177500,6.817961,2331805
2002-07-16,9.195970,9.823810,8.955910,9.325230,6.927709,4261987
2002-07-17,9.362160,9.509890,9.085170,9.195970,6.831682,2240669
2002-07-18,9.472960,9.472960,9.195970,9.288300,6.900274,1235059
2002-07-19,9.565290,9.934600,9.085170,9.195970,6.831682,1641058
2002-07-22,8.918980,9.085170,8.605060,8.678930,6.447574,1712639
2002-07-23,8.586600,8.937450,8.328080,8.882050,6.598472,1986247
2002-07-24,8.845120,9.029780,8.752790,8.845120,6.571037,2339503
2002-07-25,9.011310,9.232900,8.457340,8.531200,6.337826,2708285
2002-07-26,8.531200,8.531200,7.940290,7.995690,5.939995,2007386
2002-07-29,8.032620,8.051090,7.127800,7.349390,5.459859,4881770
2002-07-30,7.626380,7.644840,6.850810,6.924680,5.144342,2406630
2002-07-31,7.017000,7.700240,6.536890,7.607910,5.651914,4366837
2002-08-01,8.826650,8.826650,7.811030,7.884900,5.857689,5123929
2002-08-02,7.755640,8.420410,7.644840,8.217280,6.104614,4360731
2002-08-05,8.291140,8.826650,8.291140,8.734320,6.488723,4071949
2002-08-06,8.678930,8.974380,8.605060,8.845120,6.571037,2836565
2002-08-07,8.992850,9.159040,8.789720,8.882050,6.598472,2032685
2002-08-08,8.955910,9.011310,8.383470,8.457340,6.282955,2144434
2002-08-09,8.568130,8.660460,8.291140,8.568130,6.365261,1910543
2002-08-12,8.678930,8.826650,8.642000,8.771260,6.516166,1222679
2002-08-13,8.845120,8.974380,8.808190,8.863580,6.584750,1249721
2002-08-14,8.678930,8.863580,8.586600,8.697390,6.461287,1086741
2002-08-15,null,null,null,null,null,null
2002-08-16,8.845120,9.011310,8.789720,8.845120,6.571037,1383487
2002-08-19,8.974380,8.974380,8.752790,8.789720,6.529879,981412
2002-08-20,8.863580,8.863580,8.420410,8.642000,6.420138,1462219
2002-08-21,8.715860,8.715860,8.475800,8.494270,6.310391,661783
2002-08-22,8.494270,8.678930,8.365010,8.383470,6.228076,490426
2002-08-23,8.365010,8.494270,8.180350,8.254210,6.132050,835834
2002-08-26,8.272680,8.438870,8.272680,8.383470,6.228076,499881
2002-08-27,8.475800,8.475800,8.272680,8.291140,6.159483,339503
2002-08-28,8.272680,8.272680,8.051090,8.088020,6.008587,577595
2002-08-29,8.051090,8.161880,7.847970,7.940290,5.898839,514012
2002-08-30,7.977230,8.346540,7.940290,8.217280,6.104614,961689
2002-09-02,8.678930,8.678930,8.235750,8.309610,6.173206,675849
2002-09-03,8.438870,8.586600,8.051090,8.088020,6.008587,356307
2002-09-04,8.051090,8.161880,7.903360,8.124950,6.036023,441513
2002-09-05,8.198820,8.272680,8.051090,8.106490,6.022308,295378
2002-09-06,8.143420,8.143420,7.829500,7.884900,5.857689,406936
2002-09-09,8.088020,8.088020,7.644840,7.718710,5.734227,374392
2002-09-10,null,null,null,null,null,null
2002-09-11,7.829500,7.847970,7.478650,7.515580,5.583322,588834
2002-09-12,7.700240,8.309610,7.570980,8.143420,6.049744,1695724
2002-09-13,8.198820,8.752790,8.161880,8.642000,6.420138,4664293
2002-09-16,8.678930,8.937450,8.328080,8.401940,6.241798,2222284
2002-09-17,8.623530,8.642000,8.309610,8.457340,6.282955,1418473
2002-09-18,8.438870,8.494270,8.217280,8.272680,6.145771,696222
2002-09-19,8.346540,8.346540,8.032620,8.161880,6.063458,632978
2002-09-20,8.051090,8.291140,7.847970,8.217280,6.104614,704353
2002-09-23,8.365010,8.494270,8.161880,8.272680,6.145771,875004
2002-09-24,8.272680,8.272680,7.940290,7.995690,5.939995,921230
2002-09-25,7.903360,8.032620,7.644840,7.977230,5.926281,619394
2002-09-26,8.106490,8.161880,8.014160,8.069560,5.994872,309705
2002-09-27,8.124950,8.161880,8.051090,8.106490,6.022308,240853
2002-09-30,8.124950,8.161880,7.847970,7.903360,5.871403,495286
2002-10-01,7.866430,8.014160,7.792570,7.884900,5.857689,432429
2002-10-02,null,null,null,null,null,null
2002-10-03,7.977230,8.032620,7.681770,7.792570,5.789097,815134
2002-10-04,7.866430,7.884900,7.737170,7.774100,5.775376,628982
2002-10-07,7.903360,7.921830,7.755640,7.811030,5.802811,697966
2002-10-08,7.903360,8.143420,7.792570,8.051090,5.981152,725419
2002-10-09,8.143420,8.309610,7.958760,7.995690,5.939995,996206
2002-10-10,8.069560,8.069560,7.903360,7.958760,5.912560,286310
2002-10-11,8.088020,8.088020,7.847970,7.940290,5.898839,409067
2002-10-14,7.958760,8.051090,7.940290,7.995690,5.939995,258629
2002-10-15,null,null,null,null,null,null
2002-10-16,8.051090,8.124950,7.977230,7.995690,5.939995,403952
