Date,Open,High,Low,Close,Adj Close,Volume
2015-08-26,56.049999,56.049999,53.250000,53.250000,52.398003,9735
2015-08-27,50.599998,50.599998,50.599998,50.599998,49.790401,3099
2015-08-28,48.099998,48.099998,48.099998,48.099998,47.330399,1832
2015-08-31,45.700001,45.700001,45.700001,45.700001,44.968803,761
2015-09-01,43.450001,43.450001,43.450001,43.450001,42.754803,1024
2015-09-02,41.299999,41.299999,41.299999,41.299999,40.639202,2261
2015-09-03,39.250000,39.250000,39.250000,39.250000,38.622002,2748
2015-09-04,37.299999,37.299999,37.299999,37.299999,36.703201,3607
2015-09-07,35.450001,35.450001,35.450001,35.450001,34.882801,1338
2015-09-08,33.700001,33.700001,33.700001,33.700001,33.160801,342
2015-09-09,30.350000,30.350000,30.350000,30.350000,29.864401,20260
2015-09-10,27.350000,33.349998,27.350000,33.349998,32.816399,2182966
2015-09-11,35.200001,36.650002,32.099998,35.900002,35.325603,2163150
2015-09-14,39.200001,39.450001,38.099998,39.450001,38.818802,1567313
2015-09-15,42.400002,43.349998,41.799999,43.349998,42.656399,190600
2015-09-16,45.500000,45.500000,45.500000,45.500000,44.771999,73962
2015-09-18,47.750000,47.750000,47.750000,47.750000,46.986000,236435
2015-09-21,48.000000,50.099998,45.400002,50.099998,49.298401,2014665
2015-09-22,52.599998,52.599998,49.000000,52.450001,51.610802,1182409
2015-09-23,51.500000,55.049999,50.500000,55.049999,54.169201,416724
2015-09-24,56.500000,57.799999,56.200001,57.799999,56.875202,183045
2015-09-28,60.650002,60.650002,60.650002,60.650002,59.679604,5201
2015-09-29,61.400002,63.650002,58.150002,63.650002,62.631603,1203975
2015-09-30,65.800003,66.800003,65.699997,66.800003,65.731201,70229
2015-10-01,70.099998,70.099998,64.199997,70.099998,68.978401,603030
2015-10-05,72.900002,73.599998,72.900002,73.599998,72.422401,25771
2015-10-06,77.250000,77.250000,74.000000,77.250000,76.014000,643304
2015-10-07,79.900002,80.000000,73.400002,73.400002,72.225601,774684
2015-10-08,72.000000,72.000000,69.750000,69.750000,68.634003,102810
2015-10-09,66.500000,73.199997,66.300003,73.199997,72.028801,1162337
2015-10-12,76.849998,76.849998,74.000000,75.800003,74.587204,669148
2015-10-13,77.000000,77.949997,72.050003,72.050003,70.897202,120123
2015-10-14,68.449997,71.500000,68.449997,68.500000,67.403999,161120
2015-10-15,67.099998,71.900002,66.099998,69.900002,68.781601,323197
2015-10-16,71.000000,73.349998,66.699997,71.599998,70.454399,395956
2015-10-19,74.000000,74.000000,69.099998,69.699997,68.584801,125145
2015-10-20,70.000000,72.000000,68.699997,70.949997,69.814796,157078
2015-10-21,71.000000,71.349998,68.000000,68.500000,67.403999,74001
2015-10-23,68.300003,71.000000,67.000000,67.349998,66.272400,68886
2015-10-26,67.849998,69.500000,67.000000,68.849998,67.748398,126305
2015-10-27,69.000000,69.000000,65.449997,65.900002,64.845604,94755
2015-10-28,66.300003,67.550003,62.750000,63.099998,62.090401,101000
2015-10-29,64.400002,66.250000,60.650002,62.000000,61.008003,356393
2015-10-30,62.000000,64.300003,61.000000,61.099998,60.122398,137889
2015-11-02,62.000000,62.000000,59.000000,60.099998,59.138401,51477
2015-11-03,61.000000,63.099998,60.150002,63.099998,62.090401,146509
2015-11-04,64.000000,65.000000,61.200001,61.549999,60.565201,63578
2015-11-05,61.500000,64.599998,59.099998,64.000000,62.976002,243477
2015-11-06,67.199997,67.199997,65.199997,67.199997,66.124802,318830
2015-11-09,63.849998,70.550003,63.849998,70.550003,69.421204,471889
2015-11-10,73.400002,74.050003,67.400002,69.050003,67.945206,675040
2015-11-13,73.300003,74.800003,70.000000,72.050003,70.897202,173913
2015-11-16,72.000000,73.750000,70.400002,72.250000,71.094002,126774
2015-11-17,72.050003,72.949997,70.500000,70.949997,69.814796,63073
2015-11-18,70.849998,72.500000,70.000000,70.800003,69.667206,63636
2015-11-19,72.099998,74.300003,71.650002,74.300003,73.111206,121206
2015-11-20,75.849998,78.000000,75.500000,78.000000,76.751999,271157
2015-11-23,78.199997,81.900002,76.199997,81.900002,80.589607,206277
2015-11-24,84.400002,85.949997,82.599998,85.949997,84.574799,87685
2015-11-26,90.199997,90.199997,90.199997,90.199997,88.756798,9886
2015-11-27,94.699997,94.699997,94.699997,94.699997,93.184799,11244
2015-11-30,99.400002,99.400002,91.150002,93.500000,92.004005,678834
2015-12-01,96.300003,96.300003,89.199997,89.949997,88.510803,111528
2015-12-02,89.949997,94.400002,89.949997,94.400002,92.889603,104894
2015-12-03,99.099998,99.099998,94.400002,98.900002,97.317604,660607
2015-12-04,97.900002,101.099998,94.000000,96.800003,95.251205,409990
2015-12-07,98.000000,101.599998,94.050003,96.900002,95.349602,146355
2015-12-08,98.500000,98.500000,92.099998,92.099998,90.626404,47898
2015-12-09,90.000000,90.000000,87.500000,87.500000,86.100006,18253
2015-12-10,83.550003,85.000000,83.150002,83.150002,81.819603,20887
2015-12-11,79.000000,86.550003,79.000000,83.500000,82.164001,42806
2015-12-14,83.400002,84.650002,80.150002,82.349998,81.032402,32877
2015-12-15,79.349998,86.449997,79.349998,86.300003,84.919205,48791
2015-12-16,87.000000,88.500000,83.000000,83.900002,82.557602,22516
2015-12-17,87.349998,87.349998,84.000000,84.699997,83.344803,13117
2015-12-18,85.000000,87.800003,84.150002,85.500000,84.132004,19427
2015-12-21,89.250000,89.750000,84.500000,89.750000,88.314003,17112
2015-12-22,93.000000,94.199997,88.199997,89.150002,87.723602,42676
2015-12-23,88.050003,91.849998,88.000000,89.199997,87.772797,28636
2015-12-24,86.250000,91.699997,85.099998,89.150002,87.723602,23392
2015-12-28,86.699997,92.400002,86.699997,89.599998,88.166405,19809
2015-12-29,89.000000,91.000000,87.099998,87.900002,86.493607,12540
2015-12-30,83.550003,89.400002,83.550003,85.050003,83.689209,11868
2015-12-31,85.150002,87.900002,84.250000,85.949997,84.574799,14638
2016-01-01,89.699997,90.199997,88.000000,90.199997,88.756798,51546
2016-01-04,92.000000,94.699997,88.199997,93.650002,92.151604,106652
2016-01-05,98.300003,98.300003,91.099998,98.300003,96.727203,128030
2016-01-06,99.199997,103.199997,99.199997,103.199997,101.548798,239139
2016-01-07,100.500000,108.349998,98.699997,108.349998,106.616402,250191
2016-01-08,111.250000,113.750000,111.000000,113.750000,111.930000,43320
2016-01-11,117.449997,119.400002,112.099998,119.400002,117.489601,382090
2016-01-12,123.449997,125.349998,120.599998,125.349998,123.344398,356988
2016-01-13,128.899994,131.600006,119.099998,119.099998,117.194405,352212
2016-01-14,113.150002,113.150002,113.150002,113.150002,111.339607,7925
2016-01-15,110.050003,118.699997,107.500000,107.500000,105.780006,120015
2016-01-18,102.500000,106.000000,102.150002,102.150002,100.515602,11311
2016-01-19,97.050003,104.449997,97.050003,98.599998,97.022400,237411
