Date,Open,High,Low,Close,Adj Close,Volume
2011-06-29,26.959999,30.200001,22.309999,28.150000,22.908348,758510
2011-06-30,27.799999,28.330000,26.400000,27.820000,22.639795,34035
2011-07-01,27.190001,29.600000,27.190001,29.370001,23.901178,70425
2011-07-04,28.410000,30.000000,27.610001,29.280001,23.827936,32655
2011-07-05,30.160000,32.560001,29.000000,30.180000,24.560352,271095
2011-07-06,30.000000,31.000000,29.400000,29.889999,24.324352,15855
2011-07-07,30.000000,30.580000,28.600000,29.709999,24.177870,10445
2011-07-08,29.900000,30.000000,27.799999,29.709999,24.177870,14505
2011-07-11,29.400000,30.580000,29.400000,30.580000,24.885872,3950
2011-07-12,29.200001,30.549999,28.799999,28.900000,23.518694,10295
2011-07-13,29.799999,30.400000,29.230000,30.080000,24.478971,6050
2011-07-14,29.799999,29.900000,28.230000,29.820000,24.267384,9285
2011-07-15,30.780001,30.780001,27.830000,29.570000,24.063938,10575
2011-07-18,29.020000,29.430000,28.600000,29.400000,23.925592,615
2011-07-19,29.799999,29.799999,29.000000,29.400000,23.925592,1410
2011-07-20,29.400000,29.799999,28.400000,29.639999,24.120901,7545
2011-07-21,29.990000,30.600000,29.000000,29.030001,23.624491,40515
2011-07-22,30.700001,30.700001,27.090000,29.600000,24.088354,7075
2011-07-25,29.200001,30.389999,29.200001,29.719999,24.186007,6635
2011-07-26,29.700001,31.200001,29.200001,30.400000,24.739389,16200
2011-07-27,29.010000,31.000000,29.010000,30.850000,25.105598,25675
2011-07-28,30.250000,30.730000,30.250000,30.379999,24.723114,11850
2011-07-29,30.049999,30.600000,30.049999,30.580000,24.885872,9375
2011-08-01,30.950001,31.200001,30.620001,31.059999,25.276495,20020
2011-08-02,31.000000,31.000000,30.020000,30.780001,25.048630,4425
2011-08-03,29.799999,30.540001,28.700001,29.730000,24.194145,23215
2011-08-04,30.020000,30.799999,29.600000,29.600000,24.088354,4455
2011-08-05,28.200001,30.370001,28.059999,29.629999,24.112766,9745
2011-08-08,28.299999,30.000000,28.200001,30.000000,24.413868,360745
2011-08-09,30.760000,30.760000,28.500000,30.000000,24.413868,263410
2011-08-10,30.000000,30.780001,29.600000,30.000000,24.413868,2365
2011-08-11,29.600000,30.299999,29.100000,30.290001,26.176855,315
2011-08-12,30.799999,31.000000,29.809999,30.400000,26.271917,1590
2011-08-16,30.900000,31.000000,28.200001,28.600000,24.716343,11455
2011-08-17,27.799999,30.000000,27.799999,29.680000,25.649687,18595
2011-08-18,28.200001,29.190001,28.200001,28.360001,24.508936,1535
2011-08-19,26.610001,28.200001,26.610001,27.799999,24.024977,2865
2011-08-22,28.000000,28.000000,27.200001,27.799999,24.024977,13520
2011-08-23,28.000000,28.000000,27.799999,27.969999,24.171890,5325
2011-08-24,28.000000,28.000000,27.000000,27.969999,24.171890,2675
2011-08-25,26.410000,28.000000,26.000000,26.690001,23.065704,4315
2011-08-26,28.000000,28.000000,26.000000,26.420000,22.832371,4700
2011-08-29,27.000000,28.000000,26.420000,27.870001,24.085470,11300
2011-08-30,25.400000,28.000000,25.400000,27.870001,24.085470,12065
2011-09-02,27.299999,29.000000,26.459999,28.000000,24.197819,5530
2011-09-05,26.700001,28.000000,26.000000,26.799999,23.160770,22405
2011-09-06,27.200001,28.000000,27.000000,27.830000,24.050901,2415
2011-09-07,27.900000,28.400000,27.500000,28.170000,24.344734,7010
2011-09-08,28.450001,30.000000,28.000000,29.559999,25.545980,6050
2011-09-09,30.459999,30.500000,28.600000,28.610001,24.724987,2255
2011-09-12,28.600000,29.400000,28.200001,29.400000,25.407709,1450
2011-09-13,30.000000,30.000000,28.000000,29.190001,25.226225,6805
2011-09-14,29.500000,30.400000,28.260000,29.639999,25.615116,8475
2011-09-15,29.780001,30.299999,28.600000,29.260000,25.286720,1025
2011-09-16,30.000000,30.180000,28.799999,29.219999,25.252150,12680
2011-09-19,29.980000,30.000000,29.600000,29.709999,25.675613,2255
2011-09-20,29.040001,30.580000,29.040001,30.230000,26.125004,12090
2011-09-21,30.200001,30.799999,30.010000,30.290001,26.176855,21380
2011-09-22,30.000000,30.500000,29.230000,29.790001,25.744751,31700
2011-09-23,29.600000,30.000000,28.389999,28.570000,24.690414,20500
2011-09-26,29.500000,29.500000,27.000000,27.490000,23.757072,17465
2011-09-27,28.559999,28.559999,27.400000,28.000000,24.197819,35300
2011-09-28,27.610001,28.400000,27.610001,28.340000,24.491652,15700
2011-09-29,28.000000,28.370001,28.000000,28.020000,24.215103,6730
2011-09-30,28.200001,28.400000,27.600000,28.000000,24.197819,8750
2011-10-03,27.000000,29.389999,24.600000,27.100000,23.420033,1960
2011-10-04,27.900000,28.000000,27.000000,27.209999,23.515095,4450
2011-10-05,26.000000,27.580000,26.000000,27.000000,23.333611,2405
2011-10-07,27.000000,27.799999,25.340000,27.010000,23.342251,12570
2011-10-10,27.799999,28.000000,27.000000,27.459999,23.731144,5730
2011-10-11,27.000000,27.900000,26.600000,27.570000,23.826210,7185
2011-10-12,26.600000,27.959999,26.139999,27.540001,23.800283,1850
2011-10-13,26.700001,28.000000,26.700001,27.799999,24.024977,8795
2011-10-14,29.059999,29.600000,27.500000,29.000000,25.062025,8950
2011-10-17,29.000000,29.000000,28.000000,28.920000,24.992889,2735
2011-10-18,28.020000,28.400000,27.190001,28.230000,24.396585,10660
2011-10-19,27.290001,29.280001,27.290001,29.080000,25.131163,11415
2011-10-20,28.010000,29.000000,28.010000,28.870001,24.949682,8140
2011-10-21,29.700001,29.700001,28.000000,28.879999,24.958323,16860
2011-10-24,28.879999,29.799999,28.020000,29.510000,25.502773,8885
2011-10-25,27.730000,29.790001,27.730000,29.570000,25.554625,6500
2011-10-28,29.299999,29.440001,28.320000,29.180000,25.217585,8620
2011-10-31,28.330000,28.400000,28.100000,28.360001,24.508936,470
2011-11-01,28.219999,29.100000,28.000000,28.870001,24.949682,8325
2011-11-02,28.799999,31.799999,28.650000,30.820000,26.634884,30875
2011-11-03,30.900000,33.680000,30.400000,32.599998,28.173174,38480
2011-11-04,32.599998,37.000000,31.219999,35.290001,30.497892,65870
2011-11-08,34.070000,34.599998,32.619999,33.230000,28.717623,18240
2011-11-09,32.279999,34.799999,31.410000,33.349998,28.821327,19225
