Date,Open,High,Low,Close,Adj Close,Volume
2007-03-20,8.240000,9.092000,8.000000,8.428000,5.379179,60327538
2007-03-21,8.400000,8.604000,7.816000,7.912000,5.049841,15417738
2007-03-22,8.160000,8.320000,7.784000,7.860000,5.016652,5490925
2007-03-23,7.996000,7.996000,7.212000,7.432000,4.743480,2501550
2007-03-26,7.360000,7.364000,6.888000,6.952000,4.437120,1494588
2007-03-28,7.080000,7.080000,6.320000,6.420000,4.097570,755775
2007-03-29,6.400000,6.480000,6.092000,6.208000,3.962261,1090200
2007-03-30,6.480000,6.800000,6.084000,6.632000,4.232881,1725962
2007-04-02,6.280000,6.792000,6.252000,6.416000,4.095016,445388
2007-04-03,6.420000,6.640000,6.328000,6.420000,4.097570,237175
2007-04-04,6.512000,6.512000,6.180000,6.224000,3.972473,205125
2007-04-05,6.200000,6.680000,6.180000,6.288000,4.013322,343425
2007-04-09,6.356000,6.600000,6.300000,6.348000,4.051616,264038
2007-04-10,6.256000,6.448000,6.088000,6.380000,4.072042,160362
2007-04-11,6.360000,6.540000,6.344000,6.380000,4.072042,194275
2007-04-12,6.280000,6.428000,6.240000,6.268000,4.000557,44112
2007-04-13,6.120000,6.380000,6.084000,6.228000,3.975027,75725
2007-04-16,6.292000,6.824000,6.252000,6.708000,4.281387,672638
2007-04-17,6.656000,7.024000,6.560000,6.780000,4.327341,341350
2007-04-18,6.800000,7.792000,6.800000,7.444000,4.751139,3077650
2007-04-19,7.520000,7.576000,7.040000,7.312000,4.666892,437825
2007-04-20,7.332000,7.488000,7.000000,7.044000,4.495840,233838
2007-04-23,7.216000,7.316000,6.980000,7.036000,4.490733,157888
2007-04-24,6.960000,7.816000,6.920000,7.416000,4.733269,1267900
2007-04-25,7.400000,8.440000,7.384000,7.876000,5.026864,3116925
2007-04-26,8.100000,8.400000,7.608000,7.680000,4.901767,1159512
2007-04-27,7.776000,8.000000,7.644000,7.828000,4.996229,410288
2007-04-30,7.696000,8.308000,7.696000,8.172000,5.215786,423250
2007-05-03,8.232000,8.408000,7.940000,8.060000,5.144301,288212
2007-05-04,8.080000,8.684000,8.080000,8.340000,5.323011,1270550
2007-05-07,8.800000,8.960000,8.500000,8.580000,5.476192,738662
2007-05-08,8.400000,8.640000,8.280000,8.432000,5.381731,336262
2007-05-09,8.280000,8.544000,8.120000,8.288000,5.289824,223425
2007-05-10,8.164000,8.792000,8.164000,8.644000,5.517040,385800
2007-05-11,9.120000,9.120000,8.160000,8.672000,5.534911,433862
2007-05-14,8.728000,8.992000,8.704000,8.808000,5.621714,248500
2007-05-15,8.992000,9.396000,8.728000,9.120000,5.820848,1639962
2007-05-16,9.240000,9.392000,8.880000,8.968000,5.723835,330688
2007-05-17,9.040000,9.112000,8.648000,8.716000,5.562994,229450
2007-05-18,8.652000,9.000000,8.640000,8.764000,5.593630,177062
2007-05-21,8.800000,9.200000,8.800000,8.976000,5.728940,258012
2007-05-22,8.892000,9.352000,8.892000,9.172000,5.854036,1069925
2007-05-23,9.240000,9.448000,8.968000,9.044000,5.772340,562450
2007-05-24,8.828000,9.120000,8.828000,8.980000,5.731491,91000
2007-05-25,9.000000,9.268000,8.880000,9.140000,5.833612,235100
2007-05-28,9.176000,9.220000,9.040000,9.160000,5.846377,157938
2007-05-29,9.160000,9.160000,8.968000,9.104000,5.810637,108438
2007-05-30,9.104000,9.120000,8.960000,9.004000,5.746810,136175
2007-05-31,8.640000,9.000000,8.640000,8.752000,5.585971,200375
2007-06-01,8.872000,9.220000,8.872000,9.180000,5.859144,324512
2007-06-04,9.200000,9.244000,9.044000,9.092000,5.802978,144750
2007-06-05,9.080000,9.192000,8.880000,8.912000,5.688091,54462
2007-06-06,9.120000,9.144000,8.648000,8.668000,5.532359,91925
2007-06-07,8.776000,8.796000,8.408000,8.576000,5.473639,73650
2007-06-08,8.408000,8.800000,8.400000,8.740000,5.578312,64212
2007-06-11,8.640000,8.880000,8.488000,8.588000,5.481298,42725
2007-06-12,8.240000,8.440000,8.240000,8.312000,5.305141,62388
