Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,62.349998,62.799999,59.049999,61.500000,57.812386,8154
2002-07-02,61.000000,62.500000,61.000000,61.500000,57.812386,5718
2002-07-03,63.000000,63.500000,60.599998,60.950001,57.295364,6038
2002-07-04,60.150002,61.299999,60.000000,60.200001,56.590340,7780
2002-07-05,61.700001,62.000000,60.299999,61.549999,57.859383,11029
2002-07-08,62.000000,68.500000,61.049999,67.949997,63.875645,90656
2002-07-09,70.000000,73.500000,68.250000,69.000000,64.862679,95855
2002-07-10,67.050003,69.650002,65.000000,65.599998,61.666546,21832
2002-07-11,65.150002,67.000000,62.000000,62.500000,58.752419,23516
2002-07-12,63.750000,64.000000,61.099998,61.799999,58.094398,11471
2002-07-15,62.500000,62.950001,60.500000,61.650002,57.953392,9411
2002-07-16,60.000000,62.750000,59.599998,59.849998,56.261326,7907
2002-07-17,60.750000,61.000000,58.000000,58.500000,54.992264,9101
2002-07-18,60.000000,60.700001,59.500000,60.200001,56.590340,6702
2002-07-19,59.950001,60.250000,58.200001,59.000000,55.462292,1342
2002-07-22,59.950001,59.950001,56.250000,57.000000,53.582211,4090
2002-07-23,54.700001,57.700001,54.700001,57.599998,54.146233,1136
2002-07-24,59.250000,59.250000,55.000000,55.650002,52.313160,8167
2002-07-25,56.000000,56.000000,53.849998,54.200001,50.950108,3995
2002-07-26,54.000000,54.000000,52.000000,52.650002,49.493046,5878
2002-07-29,52.900002,52.900002,50.000000,50.750000,47.706963,7665
2002-07-30,51.150002,52.000000,45.000000,47.900002,45.027855,7531
2002-07-31,46.000000,48.349998,41.099998,48.000000,45.121868,5201
2002-08-01,47.099998,48.799999,44.750000,46.700001,43.899811,6742
2002-08-02,46.000000,47.500000,46.000000,47.150002,44.322830,7125
2002-08-05,46.950001,47.000000,45.599998,45.700001,42.959770,8392
2002-08-06,47.400002,47.650002,45.950001,46.849998,44.040813,3601
2002-08-07,47.849998,48.000000,47.000000,47.599998,44.745838,1420
2002-08-08,49.299999,49.299999,46.750000,46.849998,44.040813,2285
2002-08-09,46.950001,47.700001,46.200001,47.700001,44.839848,8675
2002-08-12,48.500000,48.500000,45.799999,46.750000,43.946812,12388
2002-08-13,50.000000,55.000000,46.299999,47.000000,44.181824,3836
2002-08-14,47.000000,47.450001,46.650002,46.650002,43.852810,1350
2002-08-15,null,null,null,null,null,null
2002-08-16,46.000000,50.000000,46.000000,47.000000,44.181824,3808
2002-08-19,47.000000,47.000000,46.200001,46.950001,44.134815,2020
2002-08-20,46.099998,47.250000,46.099998,47.000000,44.181824,4820
2002-08-21,47.000000,47.400002,46.650002,46.950001,44.134815,885
2002-08-22,46.000000,47.450001,46.000000,46.000000,43.241783,400
2002-08-23,46.000000,47.450001,45.000000,47.150002,44.322830,2350
2002-08-26,47.500000,47.500000,46.200001,46.900002,44.087826,2134
2002-08-27,46.549999,46.750000,46.049999,46.650002,43.852810,1446
2002-08-28,46.549999,48.650002,46.200001,47.900002,45.027855,23036
2002-08-29,47.000000,47.250000,46.000000,46.200001,43.429787,2100
2002-08-30,46.950001,46.950001,46.000000,46.700001,43.899811,3252
2002-09-02,46.049999,48.299999,46.049999,46.900002,44.087826,9525
2002-09-03,46.650002,47.700001,46.599998,47.000000,44.181824,766
2002-09-04,46.599998,47.299999,46.500000,47.000000,44.181824,2102
2002-09-05,46.599998,46.599998,46.250000,46.250000,43.476795,1000
2002-09-06,47.000000,47.250000,46.700001,46.750000,43.946812,7494
2002-09-09,46.000000,46.450001,46.000000,46.000000,43.241783,718
2002-09-10,null,null,null,null,null,null
2002-09-11,46.500000,46.500000,45.599998,45.650002,42.912769,2373
2002-09-12,46.400002,46.400002,45.000000,45.500000,42.771767,2921
2002-09-13,45.900002,46.000000,45.500000,45.650002,42.912769,1063
