Date,Open,High,Low,Close,Adj Close,Volume
1996-01-15,5.150000,5.150000,5.150000,5.150000,0.591832,2000
1996-01-16,5.150000,5.150000,5.150000,5.150000,0.591832,2000
1996-01-17,5.100000,5.100000,5.100000,5.100000,0.586086,2000
1996-01-18,null,null,null,null,null,null
1996-01-19,null,null,null,null,null,null
1996-01-22,null,null,null,null,null,null
1996-01-23,null,null,null,null,null,null
1996-01-24,null,null,null,null,null,null
1996-01-25,null,null,null,null,null,null
1996-01-26,null,null,null,null,null,null
1996-01-29,null,null,null,null,null,null
1996-01-30,5.100000,5.100000,4.750000,4.750000,0.545865,4000
1996-01-31,null,null,null,null,null,null
1996-02-01,null,null,null,null,null,null
1996-02-02,null,null,null,null,null,null
1996-02-05,4.405000,4.405000,4.400000,4.400000,0.505643,8000
1996-02-06,4.400000,4.750000,4.725000,4.725000,0.542992,26000
1996-02-07,4.650000,4.650000,4.650000,4.650000,0.534373,2000
1996-02-08,null,null,null,null,null,null
1996-02-09,4.750000,4.750000,4.750000,4.750000,0.545865,4000
1996-02-12,4.750000,4.750000,4.750000,4.750000,0.545865,2000
1996-02-13,null,null,null,null,null,null
1996-02-14,4.750000,5.000000,4.500000,5.000000,0.574595,4000
1996-02-15,5.250000,5.250000,5.250000,5.250000,0.603324,2000
1996-02-16,5.250000,5.250000,5.175000,5.175000,0.594706,6000
1996-02-19,5.250000,5.250000,5.200000,5.200000,0.597578,16000
1996-02-20,5.200000,5.600000,5.200000,5.275000,0.606197,14000
1996-02-21,null,null,null,null,null,null
1996-02-22,5.247500,5.250000,5.247500,5.250000,0.603324,4000
1996-02-23,5.100000,5.300000,5.100000,5.300000,0.609070,4000
1996-02-26,null,null,null,null,null,null
1996-02-27,5.300000,5.300000,5.100000,5.100000,0.586086,4000
1996-02-28,null,null,null,null,null,null
1996-02-29,5.000000,5.000000,5.000000,5.000000,0.574595,2000
1996-03-01,null,null,null,null,null,null
1996-03-04,5.000000,5.002500,5.002500,5.002500,0.574882,2000
1996-03-05,null,null,null,null,null,null
1996-03-06,null,null,null,null,null,null
1996-03-07,null,null,null,null,null,null
1996-03-08,null,null,null,null,null,null
1996-03-11,null,null,null,null,null,null
1996-03-12,null,null,null,null,null,null
1996-03-13,null,null,null,null,null,null
1996-03-14,4.525000,4.525000,4.525000,4.525000,0.520008,2000
1996-03-15,null,null,null,null,null,null
1996-03-18,null,null,null,null,null,null
1996-03-19,null,null,null,null,null,null
1996-03-20,null,null,null,null,null,null
1996-03-21,null,null,null,null,null,null
1996-03-22,4.500000,4.500000,4.500000,4.500000,0.517135,4000
1996-03-25,null,null,null,null,null,null
1996-03-26,null,null,null,null,null,null
1996-03-27,4.500000,4.200000,4.200000,4.200000,0.482659,2000
1996-03-28,4.250000,4.250000,4.250000,4.250000,0.488405,4000
1996-03-29,4.150000,4.250000,4.150000,4.212500,0.484096,12000
1996-04-01,null,null,null,null,null,null
1996-04-02,4.250000,4.250000,4.250000,4.250000,0.488405,2000
1996-04-03,null,null,null,null,null,null
1996-04-04,null,null,null,null,null,null
1996-04-05,null,null,null,null,null,null
1996-04-08,null,null,null,null,null,null
1996-04-09,null,null,null,null,null,null
1996-04-10,4.650000,4.650000,4.650000,4.650000,0.534373,2000
1996-04-11,null,null,null,null,null,null
1996-04-12,null,null,null,null,null,null
1996-04-15,4.750000,4.750000,4.562500,4.562500,0.524318,4000
1996-04-16,4.550000,4.550000,4.375000,4.377500,0.503057,12000
1996-04-17,4.450000,4.450000,4.375000,4.425000,0.508516,36000
1996-04-18,4.550000,4.550000,4.500000,4.500000,0.517135,16000
1996-04-19,4.462500,4.500000,4.450000,4.500000,0.517135,42000
1996-04-22,4.500000,4.500000,4.400000,4.400000,0.505643,20000
1996-04-23,4.400000,4.395000,3.952500,4.017500,0.461687,12000
1996-04-24,4.400000,4.400000,4.400000,4.400000,0.505643,2000
1996-04-25,4.500000,4.500000,4.300000,4.300000,0.494151,6000
1996-04-26,4.250000,4.250000,4.100000,4.100000,0.471167,6000
1996-04-29,4.000000,4.000000,4.000000,4.000000,0.459676,2000
1996-04-30,4.102500,4.102500,3.900000,4.000000,0.459676,34000
1996-05-01,null,null,null,null,null,null
1996-05-02,4.250000,4.250000,4.250000,4.250000,0.488405,4000
